
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2023-03-21;-0,108;;-0,028;;-0,061;-0,032;;-0,038;-0,140;-0,057;;-0,078;-0,106;-0,123;-0,076;-0,085;-0,012;
2023-03-22;-0,110;;-0,031;;-0,057;-0,033;-0,085;-0,037;-0,134;-0,050;;-0,072;-0,102;-0,118;-0,074;-0,079;-0,008;
2023-03-23;-0,111;;-0,030;;-0,046;-0,029;-0,083;-0,035;-0,137;-0,045;;-0,068;-0,103;-0,120;-0,078;-0,080;-0,011;
2023-03-24;-0,112;;-0,028;;-0,046;-0,027;-0,077;-0,036;-0,137;-0,041;;-0,064;-0,107;-0,120;-0,083;-0,081;-0,008;
2023-03-27;-0,110;;-0,028;;-0,051;-0,030;-0,077;-0,035;-0,133;-0,048;;-0,070;-0,103;-0,117;-0,076;-0,078;-0,002;
2023-03-28;;;;;;;;;;;;;;;;;;
2023-03-29;-0,103;;-0,023;;-0,041;-0,032;-0,073;-0,032;-0,132;-0,039;;-0,062;-0,096;-0,113;-0,071;-0,073;-0,001;
2023-03-30;-0,097;;-0,017;;-0,029;-0,034;-0,070;-0,028;-0,130;-0,039;;-0,061;-0,091;-0,111;-0,067;-0,071;-0,002;
2023-03-31;-0,092;;-0,012;;-0,034;-0,032;-0,072;-0,029;-0,128;-0,039;;-0,060;-0,088;-0,109;-0,066;-0,068;0,002;
2023-04-03;-0,092;;-0,016;;-0,032;-0,029;-0,070;-0,029;-0,123;-0,039;;-0,060;-0,088;-0,105;-0,061;-0,066;0,005;
2023-04-04;;;;;-0,039;;;;;-0,042;;-0,063;;;;;;
2023-04-05;-0,096;;-0,022;;;-0,027;-0,078;-0,029;-0,126;;;;-0,088;-0,107;-0,071;-0,071;0,012;
2023-04-06;-0,094;;-0,019;;-0,040;-0,027;-0,077;-0,026;-0,125;-0,038;;-0,059;-0,084;-0,105;-0,070;-0,070;0,019;
2023-04-11;-0,089;;-0,013;;-0,037;-0,031;-0,073;-0,023;-0,121;-0,034;;-0,054;-0,081;-0,101;-0,062;-0,066;0,020;
2023-04-12;-0,091;;-0,017;;-0,049;-0,032;-0,076;-0,025;-0,125;-0,043;;-0,060;-0,082;-0,105;-0,065;-0,068;0,017;
2023-04-13;-0,089;;-0,012;;-0,050;-0,032;-0,074;-0,023;-0,128;-0,044;;-0,061;-0,081;-0,107;-0,068;-0,069;0,017;
2023-04-14;-0,086;;-0,012;;-0,054;-0,033;-0,072;-0,024;-0,122;-0,042;;-0,060;-0,077;-0,103;-0,063;-0,064;0,020;
