
# ;[];[];[];[];[];[d&g aktiefond][didner & gerge aktiefond];[d&g global all cap][didner & gerge global];[d&g småbolag][didner & gerge småbolag];[];[];[];[];[];[];[];[dnb global emerging markets s][dnb global emerging markets a];[dnb grönt skifte norden s][dnb grönt norden a];
# ;cicero avkastning a;cicero hållbar mix a;coeli high yield opportunities;cpr invest global gold mines a2;cpr invest global lifestyles a2;d&g aktiefond;d&g global all cap;d&g småbolag;danske invest sicav - aktiv förmögenhetsförvaltning si;danske invest sicav - euro investment grade corporate bond a;danske invest sicav - sverige kort ränta si;danske invest sicav - sverige ränta si;danske invest sicav - sverige si;delphi global a2;delphi nordic acc;dnb global emerging markets s;dnb grönt skifte norden s;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;-0,245;-0,075;;;;;-0,057;;;;-0,173;-0,028;0,631;1,205;
2022-10-06;-0,059;-0,050;;-0,239;-0,076;-0,116;-0,047;-0,099;-0,092;-0,059;-0,049;-0,051;-0,115;-0,173;-0,023;0,636;1,208;
2022-10-07;-0,059;-0,055;;-0,248;-0,077;-0,129;-0,054;-0,112;-0,099;-0,061;-0,050;-0,053;-0,126;-0,179;-0,031;0,629;1,196;
2022-10-10;-0,059;-0,055;;;-0,075;-0,129;-0,055;-0,112;-0,099;-0,063;-0,049;-0,053;-0,126;-0,179;-0,033;0,625;1,194;
2022-10-11;-0,059;-0,057;;-0,255;-0,076;-0,129;-0,060;-0,111;-0,103;-0,063;-0,050;-0,054;-0,133;-0,182;-0,030;0,618;1,198;
2022-10-12;-0,059;-0,059;;-0,252;-0,075;-0,132;-0,063;-0,115;-0,103;-0,064;-0,050;-0,054;-0,133;-0,188;-0,030;0,620;1,198;
2022-10-13;-0,059;-0,057;;-0,257;-0,070;-0,127;-0,063;-0,110;-0,109;-0,065;-0,050;-0,053;-0,144;-0,179;-0,031;0,613;1,195;
2022-10-14;-0,059;-0,060;;-0,276;-0,077;-0,122;-0,061;-0,104;-0,095;-0,066;-0,049;-0,051;;-0,190;-0,024;0,617;1,204;
2022-10-17;;;;-0,267;-0,068;-0,114;-0,058;-0,097;-0,094;-0,065;-0,049;-0,051;-0,119;-0,185;-0,020;0,614;1,209;
2022-10-18;-0,059;-0,056;;-0,269;-0,071;-0,104;-0,058;-0,089;-0,088;-0,065;-0,049;-0,052;-0,109;-0,183;-0,018;0,618;1,213;
2022-10-19;-0,060;-0,058;;-0,280;-0,075;-0,113;-0,062;-0,100;-0,092;-0,067;-0,050;-0,052;-0,115;-0,187;-0,023;0,611;1,207;
2022-10-20;-0,060;-0,059;;-0,273;-0,072;-0,112;-0,062;-0,099;-0,099;-0,068;-0,050;-0,053;-0,127;-0,190;-0,023;0,608;1,203;
2022-10-21;-0,060;-0,055;;-0,256;-0,068;-0,114;-0,066;-0,102;-0,100;-0,068;-0,049;-0,054;-0,129;-0,178;-0,023;;;
2022-10-24;-0,060;-0,052;;-0,258;-0,063;-0,103;-0,062;-0,092;-0,093;-0,066;-0,049;-0,052;-0,117;-0,179;-0,017;0,597;1,209;
2022-10-25;-0,060;-0,050;;-0,255;-0,057;-0,093;-0,058;-0,085;-0,090;-0,064;-0,050;-0,051;-0,113;-0,180;-0,014;0,594;1,214;
2022-10-26;-0,060;-0,051;;-0,252;-0,067;-0,088;-0,054;-0,082;-0,086;-0,063;-0,049;-0,052;-0,106;-0,179;-0,012;0,594;1,215;
2022-10-27;-0,060;-0,049;;-0,256;-0,070;-0,091;-0,056;-0,087;-0,082;-0,060;-0,049;-0,049;-0,101;-0,178;-0,016;0,598;1,212;
2022-10-28;-0,060;-0,045;;-0,254;-0,061;-0,092;-0,055;-0,090;-0,086;-0,062;-0,049;-0,051;-0,106;-0,174;-0,011;0,599;1,218;
2022-10-31;-0,060;-0,045;;-0,263;-0,065;-0,093;-0,049;-0,092;-0,085;-0,062;-0,049;-0,051;-0,106;-0,168;-0,015;0,601;1,213;
2022-11-01;-0,059;-0,044;;;;-0,090;-0,048;-0,089;-0,081;;-0,049;-0,050;-0,100;-0,169;-0,013;0,613;1,214;
2022-11-02;-0,059;-0,048;;;;-0,090;-0,049;-0,089;-0,083;-0,064;-0,049;-0,050;-0,103;;;;;
2022-11-03;;;;-0,284;-0,070;;;;;;;;;-0,165;-0,010;0,618;1,216;
2022-11-04;-0,059;-0,051;;-0,251;-0,063;-0,088;-0,058;-0,089;-0,084;-0,064;-0,049;-0,050;-0,104;-0,172;-0,010;0,619;1,214;
2022-11-07;-0,059;-0,050;;-0,256;-0,069;-0,082;-0,056;-0,082;-0,079;-0,064;-0,048;-0,050;-0,097;-0,175;-0,006;0,620;1,219;
2022-11-08;-0,059;-0,048;;-0,233;-0,065;-0,075;-0,050;-0,075;-0,078;-0,063;-0,049;-0,050;-0,094;-0,173;-0,003;0,617;1,225;
2022-11-09;-0,059;-0,049;;-0,241;-0,076;-0,078;-0,051;-0,078;-0,077;-0,061;-0,048;-0,049;-0,094;-0,176;-0,003;0,617;1,225;
2022-11-10;-0,059;-0,040;;-0,208;-0,050;-0,057;-0,044;-0,059;-0,067;-0,057;-0,048;-0,047;-0,078;-0,171;-0,001;0,604;1,233;
2022-11-11;-0,058;-0,042;;;;-0,052;-0,047;-0,049;-0,064;-0,058;-0,048;-0,047;-0,073;-0,183;-0,007;0,617;1,229;
2022-11-14;-0,058;-0,040;;-0,226;-0,066;-0,055;-0,045;-0,051;-0,061;-0,057;-0,048;-0,046;-0,068;-0,181;-0,006;0,618;1,230;
2022-11-15;-0,058;-0,038;;-0,230;-0,063;-0,058;-0,042;-0,056;-0,063;-0,056;-0,048;-0,045;-0,071;-0,177;-0,009;0,627;1,229;
2022-11-16;-0,057;-0,040;;-0,232;-0,062;-0,066;-0,045;-0,064;-0,066;-0,054;-0,047;-0,045;-0,076;-0,176;-0,007;0,626;1,229;
2022-11-17;-0,057;-0,038;;;;-0,070;-0,041;-0,071;-0,070;;-0,047;-0,045;-0,083;;;;;
2022-11-18;;;;-0,228;-0,055;;;;;-0,052;;;;-0,171;-0,005;0,629;1,234;
2022-11-21;-0,057;-0,036;;-0,228;-0,054;-0,066;-0,038;-0,066;-0,066;-0,054;-0,047;-0,045;-0,077;-0,167;-0,006;0,627;1,232;
2022-11-22;-0,057;-0,034;;-0,212;-0,051;-0,065;-0,038;-0,065;-0,064;-0,053;-0,048;-0,045;-0,074;-0,165;-0,004;0,616;1,232;
2022-11-23;-0,057;-0,036;;-0,208;-0,050;-0,061;-0,039;-0,062;-0,063;-0,052;-0,047;-0,045;-0,071;-0,171;0,002;0,614;1,237;
2022-11-24;-0,057;-0,036;;;;-0,059;;-0,058;-0,061;-0,050;-0,047;-0,043;-0,070;-0,174;0,001;;1,236;
2022-11-25;-0,057;-0,036;;-0,219;-0,059;-0,058;-0,037;-0,055;-0,061;-0,052;-0,047;-0,044;-0,068;-0,173;-0,003;0,608;1,234;
2022-11-28;-0,057;-0,037;;;;-0,062;-0,037;-0,059;-0,063;;-0,047;-0,045;-0,072;;;;;
2022-11-29;;;;-0,221;-0,059;;;;;-0,050;;;;-0,172;0,000;0,624;1,234;
2022-11-30;-0,057;-0,033;;-0,207;-0,048;-0,063;-0,035;-0,062;-0,063;-0,050;-0,047;-0,044;-0,072;-0,156;-0,000;0,639;1,233;
2022-12-01;-0,057;-0,035;;-0,195;-0,049;-0,056;-0,035;-0,053;-0,059;-0,048;-0,047;-0,042;-0,066;-0,168;0,006;0,633;1,243;
2022-12-02;-0,057;-0,034;;-0,203;-0,056;-0,054;-0,034;-0,049;-0,060;-0,048;-0,047;-0,042;-0,067;-0,162;0,005;0,634;1,244;
2022-12-05;-0,056;-0,036;;-0,215;-0,060;-0,052;-0,037;-0,048;-0,058;-0,047;-0,047;-0,043;-0,064;-0,169;0,007;0,641;1,247;
2022-12-06;-0,056;-0,039;;-0,215;-0,062;-0,060;-0,044;-0,057;-0,059;-0,046;-0,047;-0,042;-0,067;-0,175;0,002;;;
2022-12-07;-0,056;-0,040;;-0,207;-0,062;-0,065;-0,047;-0,061;-0,063;-0,046;-0,046;-0,041;-0,073;-0,178;-0,005;0,625;1,236;
2022-12-08;-0,056;-0,040;;-0,207;-0,062;-0,066;-0,046;-0,062;-0,064;-0,046;-0,046;-0,040;-0,076;-0,175;-0,005;0,632;1,236;
2022-12-09;-0,056;-0,040;;-0,215;-0,065;-0,060;-0,044;-0,055;-0,060;-0,046;-0,046;-0,040;-0,068;-0,179;-0,002;-0,022;-0,021;
2022-12-12;-0,056;-0,038;;;;-0,059;-0,046;-0,056;-0,061;;-0,046;-0,040;-0,070;;;;;
2022-12-13;;;;-0,206;-0,059;;;;;-0,047;;;;-0,176;-0,004;-0,032;-0,017;
2022-12-14;-0,056;-0,038;;-0,212;-0,064;-0,050;-0,043;-0,047;-0,056;-0,047;-0,046;-0,039;-0,061;-0,175;0,001;-0,029;-0,016;
2022-12-15;-0,056;-0,041;;-0,227;-0,073;-0,066;-0,049;-0,061;-0,062;-0,050;-0,046;-0,041;-0,071;-0,179;-0,004;-0,032;-0,023;
2022-12-16;-0,055;-0,043;;-0,223;-0,074;-0,072;-0,052;-0,069;-0,068;-0,052;-0,046;-0,044;-0,080;-0,180;-0,008;-0,028;-0,028;
2022-12-19;-0,055;-0,045;;-0,228;-0,079;-0,074;-0,052;-0,072;-0,070;-0,053;-0,046;-0,044;-0,083;-0,182;-0,006;-0,027;-0,028;
2022-12-20;-0,055;-0,044;;-0,213;-0,078;-0,077;-0,053;-0,074;-0,072;-0,054;-0,046;-0,045;-0,087;-0,183;-0,007;-0,030;-0,028;
2022-12-21;-0,055;-0,041;;-0,205;-0,069;-0,071;-0,048;-0,068;-0,070;-0,055;-0,046;-0,046;-0,084;-0,178;-0,004;-0,031;-0,024;
2022-12-22;-0,055;-0,044;;-0,211;-0,075;-0,075;-0,050;-0,072;-0,071;-0,055;-0,046;-0,047;-0,083;-0,181;-0,003;-0,024;-0,025;
2022-12-23;-0,055;-0,042;;-0,204;-0,070;-0,072;-0,044;-0,068;-0,071;-0,056;-0,046;-0,047;-0,084;-0,178;-0,001;-0,027;-0,022;
2022-12-27;-0,055;-0,044;;;-0,069;-0,070;-0,046;-0,068;-0,068;-0,058;-0,046;-0,049;-0,078;-0,182;0,001;;-0,020;
2022-12-28;-0,055;-0,047;;-0,206;-0,073;-0,073;-0,047;-0,067;-0,070;-0,057;-0,046;-0,049;-0,081;-0,189;-0,002;-0,027;-0,023;
2022-12-29;-0,055;-0,044;;-0,205;-0,066;-0,065;-0,043;-0,058;-0,068;-0,057;-0,046;-0,048;-0,079;-0,184;0,001;-0,029;-0,017;
2022-12-30;-0,055;-0,045;;-0,209;-0,071;-0,073;-0,046;-0,065;-0,069;-0,058;-0,046;-0,048;-0,080;-0,187;-0,005;-0,033;-0,023;
2023-01-02;-0,055;-0,044;;;;-0,066;;-0,059;-0,069;-0,057;-0,046;-0,048;-0,081;-0,186;0,003;;-0,019;
2023-01-03;-0,055;-0,043;;-0,192;-0,063;-0,063;-0,041;-0,057;-0,065;-0,056;-0,046;-0,047;-0,074;-0,184;0,006;-0,024;-0,016;
2023-01-04;-0,054;-0,042;;-0,176;-0,057;-0,060;-0,038;-0,055;-0,062;;-0,046;-0,045;-0,071;-0,185;0,002;-0,017;-0,016;
2023-01-05;-0,054;-0,041;;-0,178;-0,059;-0,058;-0,036;-0,054;-0,061;;-0,045;-0,045;-0,069;-0,183;0,001;-0,005;-0,014;
2023-01-09;-0,054;-0,038;;-0,171;-0,049;-0,049;-0,032;-0,047;-0,056;-0,052;-0,045;-0,044;-0,061;-0,187;0,009;-0,006;-0,007;
2023-01-10;-0,054;-0,037;;-0,171;-0,052;-0,053;-0,032;-0,051;-0,056;-0,050;-0,045;-0,043;-0,061;-0,183;0,006;-0,005;-0,009;
2023-01-11;-0,053;-0,032;;-0,169;-0,044;-0,050;-0,024;-0,049;-0,051;-0,050;-0,045;-0,041;-0,054;-0,178;0,003;-0,001;-0,006;
2023-01-12;-0,053;-0,031;;-0,160;-0,042;-0,048;-0,019;-0,044;-0,048;-0,048;-0,045;-0,039;-0,050;-0,176;0,004;0,001;-0,003;
2023-01-13;-0,053;-0,030;;-0,159;-0,045;-0,048;-0,019;-0,044;-0,050;-0,048;-0,045;-0,040;-0,052;-0,176;0,008;;;
2023-01-16;-0,053;-0,029;;;;-0,044;;-0,041;-0,048;-0,047;-0,045;-0,041;-0,048;-0,174;0,010;0,003;0,000;
2023-01-17;-0,053;-0,029;;-0,170;-0,042;-0,045;-0,017;-0,044;-0,049;-0,046;-0,044;-0,040;-0,050;-0,173;0,008;0,001;-0,000;
2023-01-18;-0,052;-0,032;;-0,177;-0,047;-0,043;-0,019;-0,042;-0,046;-0,044;-0,044;-0,038;-0,047;-0,185;0,011;-0,004;-0,003;
2023-01-19;-0,052;-0,036;;-0,172;-0,055;-0,055;-0,024;-0,053;-0,051;-0,045;-0,044;-0,039;-0,056;-0,185;0,003;0,000;-0,008;
2023-01-20;-0,052;-0,033;;-0,165;-0,048;-0,048;-0,023;-0,045;-0,052;-0,047;-0,044;-0,040;-0,057;-0,184;0,008;;-0,007;
2023-01-23;-0,052;-0,030;;-0,168;-0,047;-0,041;-0,018;-0,038;-0,049;-0,047;-0,044;-0,040;-0,051;-0,183;0,009;;-0,005;
2023-01-24;-0,052;-0,031;;-0,165;-0,047;-0,043;-0,018;-0,038;-0,049;-0,046;-0,044;-0,040;-0,051;-0,184;0,010;;-0,006;
2023-01-25;-0,051;-0,032;;;;-0,048;-0,020;-0,043;-0,050;;-0,044;-0,039;-0,053;;;;;
2023-01-26;;;;-0,165;-0,045;;;;;-0,046;;;;-0,177;0,002;0,013;-0,009;
2023-01-27;-0,051;-0,028;;-0,166;-0,040;-0,044;-0,012;-0,037;-0,050;-0,046;-0,044;-0,040;-0,053;-0,176;0,008;0,015;-0,008;
2023-01-30;-0,051;-0,029;;-0,170;-0,040;-0,046;-0,010;-0,039;-0,050;-0,045;-0,043;-0,040;-0,053;-0,179;0,011;0,008;-0,005;
2023-01-31;-0,050;-0,025;;-0,164;-0,032;-0,047;-0,007;-0,041;-0,051;-0,046;-0,043;-0,039;-0,055;-0,170;0,007;0,006;-0,004;
2023-02-01;-0,050;-0,024;;-0,157;-0,029;-0,039;-0,007;-0,034;-0,048;-0,046;-0,043;-0,038;-0,051;-0,168;0,013;0,011;-0,002;
2023-02-02;-0,049;-0,019;;;;-0,021;-0,002;-0,015;-0,040;;-0,043;-0,035;-0,039;;;0,007;0,001;
2023-02-03;;;;-0,185;-0,026;;;;;-0,042;;;;-0,175;0,012;;;
2023-02-06;-0,049;-0,019;;-0,181;-0,024;-0,028;-0,003;-0,021;-0,043;-0,043;-0,042;-0,037;-0,041;-0,170;0,018;0,004;0,002;
2023-02-07;-0,049;-0,018;;-0,175;-0,021;-0,029;-0,003;-0,023;-0,044;-0,044;-0,042;-0,038;-0,042;-0,165;0,018;;;
2023-02-08;-0,049;-0,019;;-0,178;-0,028;-0,029;0,001;-0,024;-0,044;-0,045;-0,042;-0,038;-0,042;-0,166;0,021;0,004;0,003;
2023-02-09;-0,049;-0,025;;-0,190;-0,031;-0,031;-0,011;-0,029;-0,048;-0,044;-0,042;-0,039;-0,048;-0,178;0,021;-0,005;-0,001;
2023-02-10;-0,050;-0,025;;-0,198;-0,041;-0,040;-0,011;-0,034;-0,053;-0,046;-0,043;-0,042;-0,054;-0,172;0,011;-0,006;-0,006;
2023-02-13;-0,049;-0,024;;-0,194;-0,030;-0,034;-0,011;-0,030;-0,050;-0,046;-0,043;-0,043;-0,049;-0,171;0,020;-0,009;-0,000;
2023-02-14;-0,049;-0,024;;-0,199;-0,034;-0,035;-0,012;-0,028;-0,050;-0,047;-0,043;-0,043;-0,048;-0,170;0,021;-0,010;-0,002;
2023-02-15;;;;-0,209;-0,030;-0,030;-0,009;-0,025;-0,049;-0,048;-0,043;-0,044;-0,045;-0,167;0,023;-0,013;0,002;
2023-02-16;-0,048;-0,023;;-0,210;-0,032;-0,030;-0,010;-0,024;-0,049;-0,048;-0,042;-0,043;-0,046;-0,169;0,025;-0,010;0,003;
2023-02-17;-0,048;-0,025;;;;-0,034;-0,010;-0,030;-0,049;-0,048;-0,042;-0,044;-0,046;;0,023;-0,015;0,003;
2023-02-20;-0,049;-0,027;;;;-0,034;;-0,032;-0,051;;-0,042;-0,045;-0,048;;;;;
2023-02-21;;;;-0,224;-0,049;;;;;-0,050;;;;-0,184;0,016;-0,029;-0,003;
2023-02-22;-0,048;-0,030;;;;-0,042;-0,022;-0,042;-0,056;;-0,042;-0,048;-0,056;;;;;
2023-02-23;;;;-0,233;-0,043;;;;;-0,049;;;;-0,178;0,012;-0,026;-0,006;
2023-02-24;-0,048;-0,031;;-0,236;-0,049;-0,048;-0,024;-0,051;-0,058;-0,051;-0,042;-0,048;-0,059;-0,179;0,013;;;
2023-02-27;-0,048;-0,031;;-0,230;-0,042;-0,042;-0,022;-0,043;-0,054;-0,051;-0,042;-0,049;-0,051;-0,180;0,019;-0,037;-0,005;
2023-02-28;-0,048;-0,030;;-0,229;-0,046;-0,041;-0,023;-0,042;-0,055;-0,053;-0,042;-0,049;-0,054;-0,183;0,017;-0,039;-0,007;
2023-03-01;-0,048;-0,031;;-0,217;-0,046;-0,043;-0,024;-0,044;-0,055;-0,054;-0,042;-0,049;-0,054;-0,177;0,019;-0,027;-0,006;
2023-03-02;-0,048;-0,030;;;;-0,043;-0,019;-0,043;-0,057;;-0,042;-0,048;-0,057;;;;;
2023-03-03;;;;-0,210;-0,037;;;;;-0,055;;;;-0,169;0,023;-0,021;-0,003;
2023-03-06;-0,048;-0,027;;-0,215;-0,035;-0,036;-0,012;-0,037;-0,051;;-0,042;-0,047;-0,048;-0,171;0,025;-0,021;-0,002;
2023-03-07;-0,048;-0,026;;-0,233;-0,041;-0,041;-0,007;-0,041;;-0,054;;;;-0,167;0,022;-0,015;-0,002;
2023-03-08;-0,048;-0,025;;-0,225;-0,031;-0,042;-0,009;-0,042;-0,055;-0,054;-0,042;-0,047;-0,054;-0,167;0,020;-0,021;-0,003;
2023-03-09;-0,048;-0,028;;-0,228;-0,039;-0,042;-0,006;-0,044;-0,055;-0,054;-0,042;-0,047;-0,055;-0,170;0,019;-0,025;-0,001;
2023-03-10;-0,048;-0,034;;-0,218;-0,041;-0,051;-0,016;-0,051;-0,059;-0,052;-0,042;-0,045;-0,063;-0,179;0,013;-0,039;-0,010;
2023-03-13;-0,047;-0,038;;-0,197;-0,053;-0,059;-0,025;-0,060;-0,063;-0,049;-0,041;-0,041;-0,073;-0,180;0,004;-0,039;-0,020;
2023-03-14;-0,048;-0,038;;-0,194;-0,048;-0,051;-0,026;-0,054;-0,058;-0,053;-0,041;-0,043;-0,064;-0,181;0,011;;;
2023-03-15;-0,048;-0,041;;-0,203;-0,064;-0,066;-0,032;-0,067;-0,065;-0,049;-0,042;-0,042;-0,077;-0,180;-0,007;-0,043;-0,030;
2023-03-16;-0,049;-0,040;;-0,199;-0,051;-0,058;-0,030;-0,059;-0,066;;-0,042;-0,042;-0,080;-0,182;-0,005;-0,048;-0,029;
2023-03-17;-0,049;-0,043;;-0,183;-0,059;-0,065;-0,035;-0,065;;-0,050;;;;-0,183;-0,013;-0,046;-0,035;
2023-03-20;-0,050;-0,044;;-0,174;-0,052;-0,059;-0,035;-0,064;-0,064;-0,051;-0,042;-0,042;-0,075;-0,186;-0,008;-0,056;-0,032;
2023-03-21;-0,050;-0,041;;-0,192;-0,052;-0,053;-0,031;-0,061;-0,062;-0,051;-0,042;-0,042;-0,071;-0,182;-0,004;-0,051;-0,025;
2023-03-22;-0,050;-0,043;;-0,188;-0,056;-0,055;-0,029;-0,061;-0,063;-0,051;-0,042;-0,044;-0,071;-0,184;-0,002;-0,046;-0,023;
2023-03-23;-0,050;-0,042;;-0,182;-0,057;-0,052;-0,032;-0,059;-0,063;-0,049;-0,042;-0,042;-0,073;-0,184;-0,003;-0,042;-0,023;
2023-03-24;-0,050;-0,042;;-0,173;-0,055;-0,060;-0,033;-0,065;-0,066;-0,048;-0,042;-0,041;-0,079;-0,177;-0,007;-0,038;-0,030;
2023-03-27;-0,050;-0,043;;;;-0,055;-0,029;-0,060;-0,064;;-0,042;-0,042;-0,074;;;;;
2023-03-28;;;;-0,167;-0,056;;;;;-0,051;;;;-0,176;-0,002;-0,042;-0,027;
2023-03-29;-0,050;-0,039;;-0,166;-0,048;-0,052;-0,025;-0,055;-0,061;-0,052;-0,042;-0,042;-0,069;-0,170;0,007;-0,031;-0,018;
2023-03-30;-0,050;-0,036;;-0,159;-0,040;-0,044;-0,019;-0,044;-0,057;-0,052;-0,042;-0,043;-0,062;-0,169;0,016;-0,030;-0,010;
2023-03-31;-0,050;-0,032;;-0,163;-0,038;-0,036;-0,017;-0,039;-0,054;-0,050;-0,041;-0,043;-0,055;-0,165;0,019;-0,026;-0,007;
2023-04-03;-0,050;-0,033;;;;-0,039;-0,016;-0,043;-0,054;;-0,041;-0,042;-0,056;;;-0,028;;
2023-04-04;;;;-0,142;-0,037;;;;;-0,048;;;;-0,168;0,019;-0,035;-0,011;
2023-04-05;-0,049;-0,034;;-0,141;-0,043;-0,043;-0,021;-0,045;-0,058;-0,047;-0,041;-0,040;-0,062;-0,166;0,013;;-0,013;
2023-04-06;-0,049;-0,033;;-0,135;-0,040;-0,042;-0,019;-0,043;-0,055;-0,047;-0,041;-0,039;-0,061;;;;;
2023-04-11;-0,049;-0,031;;-0,133;-0,035;-0,035;-0,015;-0,038;-0,052;-0,049;-0,041;-0,041;-0,055;-0,162;0,024;-0,024;-0,008;
2023-04-12;-0,049;-0,033;;-0,132;-0,040;-0,035;-0,016;-0,040;-0,049;-0,050;-0,041;-0,041;-0,049;-0,166;0,020;-0,034;-0,008;
