
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;swedbank robur transfer 60;swedbank robur transfer 70;swedbank robur transfer 80;swedbank robur transfer 90;templeton emerging markets fund a;templeton global bond fund a;tundra sustainable frontier fund a;ub infra placeringsfond a;ålandsbanken euro bond s placeringsfond;ålandsbanken euro high yield b placeringsfond;ålandsbanken global aktie b placeringsfond;ålandsbanken kapitalförvaltning placeringsfond;öhman emerging markets a;öhman frn a;öhman företagsobligationsfond a;öhman global a;öhman global growth a;
2024-12-03;0,030;0,045;0,050;0,047;0,034;-0,013;0,069;0,009;-0,004;0,018;0,077;0,020;0,031;-0,004;-0,001;0,062;0,053;
2024-12-04;0,029;0,046;0,050;0,048;0,037;-0,014;0,070;0,009;-0,004;0,019;0,080;0,021;0,030;-0,004;-0,001;0,061;0,056;
2024-12-05;0,028;0,044;0,048;0,047;0,035;-0,012;0,071;0,009;;;;;0,027;-0,004;-0,002;0,058;0,052;
2024-12-06;0,029;0,046;0,050;0,049;;;0,073;;;;;;0,031;-0,004;-0,002;0,060;0,054;
2024-12-09;;;;;0,038;-0,015;;;-0,004;0,019;0,074;0,022;;;;;;
2024-12-10;0,029;0,046;0,050;0,049;0,036;-0,016;0,076;0,004;-0,004;0,020;0,075;0,021;0,036;-0,004;-0,002;0,058;0,053;
2024-12-11;0,029;0,045;0,049;0,048;;;0,075;0,001;;;;;0,035;-0,004;-0,002;0,060;0,057;
2024-12-12;;;;;0,038;-0,017;;;-0,004;0,019;0,075;0,020;;;;;;
2024-12-13;0,028;0,044;0,050;0,048;0,040;-0,020;0,078;-0,000;-0,005;0,019;0,075;0,019;0,034;-0,004;-0,003;0,058;0,053;
2024-12-16;0,026;0,042;0,048;0,045;0,036;-0,022;0,075;-0,003;-0,005;0,019;0,077;0,018;0,028;-0,004;-0,003;0,054;0,050;
2024-12-17;0,025;0,041;0,046;0,044;0,031;-0,023;0,076;-0,008;-0,005;0,017;0,071;0,017;0,026;-0,004;-0,003;0,054;0,050;
2024-12-18;0,026;0,042;0,047;0,045;0,024;-0,029;0,071;-0,011;-0,005;0,018;0,062;0,015;0,028;-0,004;-0,003;0,046;0,040;
2024-12-19;0,020;0,034;0,038;0,037;0,028;-0,033;0,066;-0,013;-0,005;0,018;0,064;0,012;0,024;-0,004;-0,004;0,045;0,039;
2024-12-20;0,018;0,031;0,035;0,033;;;0,074;-0,012;;;;;0,022;-0,004;-0,004;0,047;0,043;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;0,053;-0,019;;;-0,003;0,012;0,066;0,026;;;;;;
2025-02-19;0,031;0,050;0,056;0,053;0,053;-0,020;0,068;-0,010;-0,003;0,011;0,067;0,025;0,046;-0,000;-0,001;0,059;0,072;
2025-02-20;0,029;0,048;0,054;0,051;0,055;-0,017;0,064;-0,012;-0,003;0,010;0,061;0,024;0,039;-0,000;-0,001;0,054;0,066;
2025-02-21;0,028;0,047;0,052;0,049;0,051;-0,016;0,059;-0,010;-0,002;0,011;0,054;0,023;0,046;-0,000;-0,001;0,049;0,061;
2025-02-24;0,026;0,043;0,048;0,046;;;0,064;-0,009;;;;;0,042;0,000;-0,001;0,048;0,059;
2025-02-25;;;;;0,044;-0,015;;;-0,002;0,010;0,048;0,023;;;;;;
2025-02-26;0,027;0,044;0,048;0,046;0,047;-0,015;0,060;-0,008;-0,002;0,010;0,051;0,025;0,042;0,000;0,000;0,047;0,055;
2025-02-27;0,027;0,043;0,047;0,045;0,041;-0,016;0,064;-0,009;;;;;0,042;0,000;0,001;0,045;0,053;
2025-02-28;0,024;0,039;0,043;0,040;0,037;-0,019;0,064;-0,005;-0,001;0,012;0,055;0,023;0,031;0,000;0,001;0,048;0,052;
2025-03-03;0,024;0,039;0,043;0,041;0,033;-0,017;0,059;-0,008;-0,002;0,011;0,046;0,021;0,024;0,000;0,000;0,038;0,040;
2025-03-04;0,017;0,029;0,031;0,029;0,027;-0,017;0,055;-0,013;-0,001;0,008;0,038;0,016;0,020;0,001;0,000;0,032;0,037;
2025-03-05;0,014;0,025;0,027;0,026;0,032;-0,015;0,043;-0,018;-0,003;0,007;0,035;0,017;0,018;0,000;-0,001;0,027;0,031;
2025-03-06;0,010;0,021;0,022;0,021;;;0,040;-0,025;;;;;0,021;0,000;-0,003;0,019;0,024;
2025-03-10;;;;;0,009;-0,015;;;-0,003;0,001;0,012;0,011;;;;;;
2025-03-11;-0,000;0,004;0,004;0,005;;;0,033;-0,025;;;;;0,006;0,000;-0,003;0,001;-0,002;
2025-03-12;;;;;0,014;-0,015;;;-0,004;0,002;0,011;0,008;;;;;;
2025-03-13;0,003;0,010;0,011;0,011;;;0,038;-0,022;-0,004;0,003;0,009;0,008;0,011;0,000;-0,003;0,006;0,003;
2025-03-14;;;;;0,023;-0,014;;;;;;;;;;;;
2025-03-17;0,005;0,012;0,014;0,014;;;0,032;-0,015;;;;;0,018;0,000;-0,003;0,013;0,012;
2025-03-18;;;;;0,022;-0,013;;;-0,004;0,002;0,013;0,011;;;;;;
2025-03-19;0,006;0,013;0,015;0,015;0,030;-0,012;0,031;-0,015;-0,004;0,003;0,020;0,012;0,026;0,000;-0,003;0,015;0,015;
2025-03-20;0,009;0,018;0,019;0,020;0,025;-0,011;0,035;-0,014;-0,003;0,003;0,020;0,012;0,023;0,000;-0,003;0,014;0,016;
2025-03-21;0,005;0,012;0,014;0,014;0,026;-0,014;0,034;-0,017;-0,003;0,002;0,019;0,010;0,018;0,000;-0,003;0,013;0,015;
2025-03-24;0,008;0,017;0,019;0,019;0,025;-0,016;0,032;-0,018;-0,003;0,001;0,024;0,010;0,019;0,001;-0,003;0,016;0,017;
2025-03-25;0,006;0,014;0,016;0,016;0,024;-0,015;0,026;-0,021;-0,003;-0,002;0,021;0,010;0,012;0,001;-0,003;0,014;0,015;
2025-03-26;0,005;0,013;0,014;0,015;0,018;-0,016;0,029;-0,020;-0,003;-0,003;0,017;0,007;0,014;0,001;-0,003;0,010;0,010;
2025-03-27;0,003;0,010;0,011;0,011;0,021;-0,018;0,032;-0,020;-0,003;-0,003;0,014;0,006;0,012;0,001;-0,002;0,007;0,008;
2025-03-28;-0,001;0,002;0,003;0,003;0,011;-0,017;0,028;-0,018;-0,002;-0,004;0,006;0,003;0,006;0,001;-0,002;0,000;-0,002;
2025-03-31;-0,004;-0,003;-0,003;-0,002;0,008;-0,016;;-0,017;-0,003;-0,004;0,007;0,002;-0,001;0,001;-0,002;-0,000;-0,006;
2025-04-01;-0,003;-0,000;-0,000;-0,000;0,011;-0,013;;-0,014;-0,002;-0,004;0,010;0,003;0,001;0,001;-0,001;-0,001;-0,005;
2025-04-02;-0,004;-0,003;-0,002;-0,003;0,011;-0,015;0,023;-0,014;-0,002;-0,005;0,010;0,001;-0,002;0,001;-0,002;-0,002;-0,006;
2025-04-03;-0,014;-0,019;-0,019;-0,020;-0,012;-0,008;0,003;-0,015;-0,002;-0,010;-0,015;-0,007;-0,015;0,001;-0,002;-0,024;-0,030;
2025-04-04;-0,017;-0,025;-0,027;-0,027;-0,027;-0,015;0,014;-0,022;-0,002;-0,004;-0,027;-0,014;;-0,000;-0,001;-0,030;-0,035;
2025-04-07;-0,029;-0,042;-0,046;-0,044;-0,037;-0,021;0,005;-0,038;-0,003;-0,007;-0,034;-0,020;-0,046;-0,001;-0,002;-0,042;-0,051;
2025-04-08;-0,020;-0,027;-0,029;-0,028;-0,045;-0,022;-0,004;-0,033;-0,003;-0,003;-0,031;-0,019;-0,047;-0,002;-0,004;-0,044;-0,050;
2025-04-09;-0,028;-0,041;-0,044;-0,043;-0,022;-0,021;-0,010;-0,029;-0,003;-0,003;-0,011;-0,017;-0,049;-0,003;-0,005;-0,022;-0,023;
2025-04-10;-0,017;-0,025;-0,027;-0,026;-0,034;-0,019;0,004;-0,027;-0,003;-0,004;-0,022;-0,016;-0,040;-0,003;-0,005;-0,031;-0,032;
2025-04-11;-0,019;-0,029;-0,030;-0,030;-0,028;-0,016;0,002;-0,017;-0,003;0,002;-0,017;-0,014;-0,030;-0,003;-0,005;-0,021;-0,025;
2025-04-14;-0,014;-0,022;-0,022;-0,023;-0,027;-0,012;0,006;-0,014;-0,003;-0,000;-0,018;-0,011;-0,031;-0,003;-0,004;-0,025;-0,030;
2025-04-15;-0,010;-0,014;-0,014;-0,015;-0,023;-0,012;0,007;-0,009;-0,002;0,001;-0,014;-0,008;-0,023;-0,003;-0,004;-0,018;-0,022;
2025-04-16;-0,015;-0,022;-0,023;-0,023;-0,026;-0,010;-0,001;-0,003;-0,002;0,007;-0,016;-0,010;-0,031;-0,003;-0,004;-0,024;-0,031;
2025-04-17;-0,019;-0,027;-0,029;-0,029;-0,023;-0,008;-0,002;-0,002;-0,001;0,004;-0,021;-0,012;-0,034;-0,003;-0,004;-0,029;-0,036;
2025-04-22;-0,022;-0,033;-0,035;-0,036;-0,026;-0,006;-0,004;-0,006;-0,001;-0,000;-0,030;-0,013;-0,036;-0,002;-0,003;-0,033;-0,040;
2025-04-23;-0,012;-0,017;-0,018;-0,018;;;0,002;-0,011;;;;;-0,022;-0,002;-0,003;-0,022;-0,027;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;-0,009;-0,000;;;-0,000;0,003;-0,010;-0,004;;;;;;
2025-04-29;-0,008;-0,011;-0,011;-0,012;-0,011;0,000;0,008;-0,004;-0,000;0,001;-0,011;-0,004;-0,016;-0,001;-0,002;-0,010;-0,012;
2025-04-30;-0,007;-0,011;-0,012;-0,012;-0,008;0,000;0,006;-0,000;;;;;-0,013;-0,001;-0,001;-0,008;-0,010;
2025-05-02;-0,001;-0,001;-0,000;-0,001;0,006;-0,002;0,008;0,002;-0,001;0,003;0,005;0,002;-0,005;-0,001;-0,002;-0,001;-0,000;
2025-05-05;0,001;0,002;0,002;0,002;;;0,009;-0,000;;;;;;-0,000;-0,001;0,001;0,001;
2025-05-06;;;;;0,004;0,000;;;-0,000;0,001;-0,001;-0,001;;;;;;
2025-05-07;-0,001;-0,001;-0,001;-0,000;0,000;0,000;0,003;0,001;0,000;0,000;0,000;0,000;-0,003;-0,000;-0,000;-0,003;-0,001;
2025-05-08;0,000;0,000;0,000;0,000;;;0,000;0,000;;;;;0,000;0,000;0,000;0,000;0,000;
