
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;fidelity - asian pacific opportunities fund a;fidelity - asian special situations fund a;fidelity - china consumer fund a;fidelity - china focus fund a;fidelity - emerging asia fund a;fidelity - emerging markets funds a;fidelity - global high yield fund a;folksam lo sverige;folksam lo världen;fondita global megatrends placeringsfond b;fondita nordic micro cap placeringsfond b;fondita nordic small cap placeringsfond b;franklin biotechnology discovery fund;franklin mutual global discovery fund a;franklin natural resources fund a;franklin technology fund a;franklin us opportunities fund a;
2025-03-28;0,004;0,011;0,025;0,032;0,010;0,001;0,023;0,010;0,009;-0,009;0,003;0,002;0,060;0,023;0,043;-0,005;0,004;
2025-03-31;0,001;0,008;0,022;0,027;0,008;-0,003;0,021;0,006;0,005;-0,013;-0,002;-0,004;0,047;0,020;0,043;-0,009;0,001;
2025-04-01;0,004;0,013;0,027;0,033;0,013;0,001;0,022;0,007;0,008;-0,008;0,005;0,006;0,032;0,020;0,047;-0,004;0,006;
2025-04-02;0,000;0,010;0,020;0,031;0,009;-0,004;0,021;0,001;0,005;-0,010;-0,001;0,004;0,041;0,022;0,048;0,000;0,010;
2025-04-03;-0,018;-0,011;0,003;0,013;-0,012;-0,023;0,008;-0,008;-0,012;-0,034;-0,012;-0,008;0,021;-0,002;0,009;-0,043;-0,026;
2025-04-04;-0,029;-0,023;-0,013;-0,004;-0,020;-0,040;0,009;-0,026;-0,017;-0,049;-0,027;-0,025;0,002;-0,024;-0,022;-0,063;-0,047;
2025-04-07;-0,040;-0,034;-0,038;-0,033;-0,033;-0,049;0,003;-0,041;-0,037;-0,053;-0,046;-0,047;-0,004;-0,032;-0,025;-0,058;-0,045;
2025-04-08;-0,034;-0,029;-0,032;-0,024;-0,031;-0,042;0,011;-0,036;-0,018;-0,047;-0,034;-0,033;-0,015;-0,032;-0,031;-0,058;-0,045;
2025-04-09;-0,045;-0,045;-0,041;-0,031;-0,043;-0,058;0,003;-0,051;-0,033;-0,029;-0,049;-0,053;0,006;-0,008;0,002;-0,008;-0,001;
2025-04-10;-0,036;-0,037;-0,036;-0,018;-0,035;-0,048;0,007;-0,032;-0,016;-0,036;-0,036;-0,035;-0,012;-0,021;-0,017;-0,031;-0,020;
2025-04-11;-0,028;-0,031;-0,032;-0,023;-0,028;-0,040;-0,001;-0,037;-0,020;-0,031;-0,033;-0,034;-0,003;-0,018;-0,009;-0,028;-0,019;
2025-04-14;-0,023;-0,022;-0,018;-0,012;-0,022;-0,033;-0,003;-0,026;-0,013;-0,029;-0,022;-0,022;0,004;-0,019;-0,010;-0,033;-0,023;
2025-04-15;-0,018;-0,017;-0,017;-0,011;-0,016;-0,025;0,000;-0,014;-0,006;-0,022;-0,015;-0,014;0,007;-0,016;-0,009;-0,028;-0,020;
2025-04-16;-0,016;-0,019;-0,020;-0,012;-0,019;-0,025;0,004;-0,020;-0,016;-0,025;-0,013;-0,017;0,005;-0,015;-0,002;-0,036;-0,026;
2025-04-17;-0,018;-0,020;-0,022;-0,015;-0,020;-0,028;0,002;-0,021;-0,025;-0,028;-0,017;-0,020;0,011;-0,015;-0,001;-0,043;-0,032;
2025-04-22;-0,019;-0,024;-0,020;-0,016;-0,023;-0,029;-0,007;-0,023;-0,035;-0,037;-0,015;-0,022;0,010;-0,019;-0,009;-0,053;-0,042;
2025-04-23;-0,017;-0,016;-0,009;-0,009;-0,015;-0,021;-0,003;-0,008;-0,016;-0,032;-0,014;-0,016;;;;;;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;;;;;;;;;0,027;-0,003;0,006;-0,012;-0,009;
2025-04-29;-0,015;-0,015;-0,010;-0,009;-0,012;-0,015;0,000;-0,007;-0,012;-0,007;-0,005;-0,012;0,026;-0,004;0,002;-0,014;-0,010;
2025-04-30;-0,012;-0,012;-0,008;-0,010;-0,010;-0,013;0,001;0,001;-0,011;-0,003;0,001;-0,003;0,034;-0,003;-0,004;-0,011;-0,006;
2025-05-02;-0,001;0,003;0,008;0,005;0,004;0,001;0,005;0,005;0,001;0,008;0,010;0,005;0,039;0,005;0,005;0,008;0,009;
2025-05-05;;;;;;;;0,006;0,003;0,004;0,006;-0,000;;;;;;
2025-05-06;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;
2025-05-07;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;;;
