
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2024-01-05;-0,023;-0,025;0,007;-0,024;0,077;-0,001;-0,011;0,032;-0,016;-0,009;0,006;-0,047;-0,059;-0,054;0,074;-0,036;;
2024-01-08;-0,026;;0,012;-0,018;0,081;0,002;-0,009;0,034;-0,012;-0,009;0,009;-0,038;-0,054;-0,057;0,076;-0,037;-0,039;
2024-01-09;-0,027;-0,019;0,011;-0,015;0,078;0,003;-0,011;0,030;-0,014;-0,012;0,006;-0,037;-0,052;-0,054;0,076;-0,035;-0,039;
2024-01-10;-0,027;-0,013;0,010;-0,014;0,079;0,003;-0,012;0,030;-0,014;-0,017;0,003;-0,038;-0,050;-0,055;0,079;-0,038;-0,039;
2024-01-11;-0,032;-0,012;0,011;-0,012;0,074;0,003;-0,012;0,025;-0,016;-0,014;0,001;-0,037;-0,045;-0,050;0,081;-0,032;-0,038;
2024-01-12;-0,022;-0,007;0,012;-0,008;0,079;0,007;-0,009;0,032;-0,014;-0,012;0,007;-0,036;-0,045;-0,051;0,082;-0,032;-0,037;
2024-01-15;-0,022;-0,001;;;;;;0,025;-0,017;-0,013;0,005;-0,035;;-0,048;0,084;-0,030;-0,037;
2024-01-16;-0,019;-0,004;0,011;-0,005;0,078;0,009;-0,003;0,020;-0,018;-0,015;0,007;-0,031;-0,042;-0,050;0,086;-0,033;-0,037;
2024-01-17;-0,024;-0,011;0,005;-0,007;0,074;0,009;-0,002;0,013;-0,022;-0,025;0,002;-0,031;-0,044;-0,057;0,087;-0,036;-0,038;
2024-01-18;-0,023;-0,008;0,012;-0,003;0,073;0,010;-0,002;0,015;-0,019;-0,025;0,004;-0,027;-0,039;-0,057;0,089;-0,035;-0,038;
2024-01-19;-0,018;-0,006;0,013;0,002;0,072;0,012;-0,000;0,011;-0,023;-0,022;-0,000;-0,022;-0,035;-0,053;0,092;-0,030;-0,038;
2024-01-22;;-0,001;0,015;0,012;0,076;0,017;;0,011;-0,019;-0,029;0,003;-0,021;-0,031;-0,059;0,096;-0,035;-0,038;
2024-01-23;;;;;;;-0,002;0,013;-0,017;-0,023;0,004;-0,018;-0,031;-0,054;0,096;-0,031;-0,038;
2024-01-24;-0,019;-0,003;0,016;0,012;0,073;0,015;-0,002;0,018;-0,016;-0,019;0,006;-0,021;-0,028;-0,051;0,094;-0,029;-0,038;
2024-01-25;-0,024;-0,005;0,018;0,010;0,073;0,013;;0,020;-0,013;-0,013;0,008;-0,016;-0,026;-0,046;;;-0,037;
2024-01-26;;;;;;;-0,001;;;;;;;;0,093;-0,026;;
2024-01-29;-0,019;-0,005;0,030;0,011;0,074;0,018;0,001;0,028;-0,013;-0,015;0,010;-0,011;-0,021;-0,045;0,095;-0,023;-0,036;
2024-01-30;-0,024;-0,007;0,030;0,013;0,070;0,018;-0,001;0,026;-0,012;-0,023;0,007;-0,016;-0,021;-0,053;0,092;-0,028;-0,036;
2024-01-31;-0,016;-0,005;0,026;0,009;0,072;0,016;-0,000;0,028;-0,012;-0,027;0,006;-0,026;-0,027;-0,058;0,089;-0,032;-0,035;
2024-02-01;-0,013;-0,001;0,027;0,007;0,069;0,016;0,003;0,023;-0,009;-0,022;0,004;-0,019;-0,024;-0,050;0,090;-0,024;-0,035;
2024-02-02;-0,017;-0,003;0,028;0,007;0,062;0,018;;0,020;-0,009;-0,022;0,003;-0,013;-0,021;-0,045;;;-0,035;
2024-02-05;;;;;;;0,003;;;;;;;;0,096;-0,013;;
2024-02-06;-0,002;0,001;0,038;0,018;0,069;0,026;0,008;0,016;-0,010;-0,006;0,004;-0,007;-0,017;-0,035;0,094;-0,009;-0,036;
2024-02-07;-0,007;-0,000;0,037;0,017;0,067;0,025;0,003;0,014;-0,008;-0,012;-0,002;-0,007;-0,018;-0,036;0,097;-0,012;-0,036;
2024-02-08;-0,011;-0,002;0,040;0,022;0,068;0,029;0,003;0,013;-0,009;-0,017;-0,004;-0,006;-0,017;-0,037;0,102;-0,012;-0,036;
2024-02-09;-0,009;-0,001;0,040;0,029;0,068;0,028;0,002;0,008;-0,009;-0,020;-0,006;-0,004;-0,016;;0,102;;-0,037;
2024-02-12;-0,013;;0,043;0,027;0,072;0,027;0,001;0,012;-0,007;-0,020;-0,006;-0,005;-0,016;;0,103;;-0,036;
2024-02-13;-0,013;0,002;0,035;0,018;0,062;0,025;-0,001;0,006;-0,008;-0,019;-0,011;-0,010;-0,018;;0,110;;-0,037;
2024-02-14;-0,006;0,005;0,041;0,030;0,070;0,033;0,006;0,003;-0,007;-0,015;-0,011;-0,001;-0,015;-0,034;0,107;-0,010;-0,037;
2024-02-15;-0,008;0,002;0,044;0,031;0,073;0,034;0,003;0,009;-0,003;-0,015;-0,009;-0,003;-0,015;-0,034;0,107;;-0,037;
2024-02-16;-0,007;0,002;0,044;0,026;0,070;0,035;0,001;0,010;-0,002;-0,011;0,000;-0,006;-0,014;-0,028;0,107;-0,007;-0,037;
2024-02-19;-0,007;0,004;;;;;;0,008;-0,002;-0,015;-0,003;-0,006;;-0,031;0,107;-0,009;-0,037;
2024-02-20;-0,006;0,000;0,042;0,019;0,069;0,031;0,001;0,006;-0,002;-0,015;-0,004;-0,012;-0,021;-0,033;0,105;-0,011;-0,036;
2024-02-21;-0,013;0,001;0,044;0,003;0,070;0,032;-0,001;-0,001;-0,003;-0,010;-0,004;-0,011;-0,023;-0,032;0,105;-0,009;-0,036;
2024-02-22;-0,012;0,003;0,049;0,012;0,067;0,034;-0,006;0,003;-0,001;-0,007;-0,006;-0,004;-0,014;-0,029;0,112;-0,006;-0,036;
2024-02-23;-0,010;;0,053;0,017;0,071;0,036;;0,002;-0,001;-0,007;-0,006;-0,003;-0,010;-0,029;;;-0,036;
2024-02-26;;;;;;;-0,003;;;;;;;;0,112;-0,009;;
2024-02-27;-0,014;0,004;0,051;0,023;0,069;0,035;-0,005;0,003;0,000;-0,009;-0,007;-0,005;-0,012;-0,026;0,114;-0,005;-0,036;
2024-02-28;-0,014;0,005;0,052;0,022;0,076;0,038;-0,001;0,000;0,002;-0,010;-0,006;-0,003;-0,014;-0,027;0,113;-0,006;-0,036;
2024-02-29;-0,011;0,008;0,054;0,027;0,080;0,037;-0,001;0,003;0,002;-0,011;-0,008;-0,000;-0,013;-0,025;0,113;-0,005;-0,036;
2024-03-01;-0,007;0,012;0,052;0,026;0,079;0,038;0,001;0,010;0,006;-0,010;-0,006;0,002;-0,010;-0,024;0,115;-0,005;-0,036;
2024-03-04;-0,008;0,012;0,050;0,030;0,085;0,041;;0,003;0,007;-0,008;-0,010;0,001;-0,006;-0,021;;;-0,035;
2024-03-05;;;;;;;0,002;;;;;;;;0,115;-0,005;;
