
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2024-06-19;0,025;0,001;;;;;;0,041;0,035;0,014;0,008;0,039;;0,029;0,128;0,040;-0,023;
2024-06-20;0,025;0,003;0,034;0,035;0,082;0,043;0,014;0,049;0,038;0,013;0,013;0,039;0,024;0,030;0,131;0,043;;
2024-06-24;0,029;0,003;0,038;0,036;0,083;0,047;;0,050;0,041;0,012;0,016;0,038;0,025;0,024;;;-0,023;
2024-06-25;;;;;;;0,015;;;;;;;;0,133;0,040;;
2024-06-26;0,031;0,010;0,035;0,034;0,077;0,040;0,017;0,043;0,037;0,015;0,009;0,043;0,028;0,029;0,137;0,041;-0,023;
2024-06-27;0,036;0,016;0,037;0,039;0,081;0,041;;0,046;0,038;0,014;0,013;0,044;0,030;0,028;0,138;0,043;-0,022;
2024-06-28;;;;;;;0,022;0,050;0,040;0,016;0,012;0,043;0,033;0,031;0,137;0,044;-0,022;
2024-07-01;0,039;0,015;0,032;0,040;0,081;0,042;0,018;0,051;0,044;0,015;0,018;0,044;0,028;0,029;0,141;0,046;-0,022;
2024-07-02;0,042;0,019;0,031;0,045;0,077;0,038;0,022;0,049;0,040;0,012;0,017;0,048;0,029;0,029;0,142;0,041;-0,022;
2024-07-03;;;;;;;0,019;0,053;0,041;0,014;0,016;0,046;0,030;0,026;0,144;0,039;-0,022;
2024-07-04;0,040;0,021;;;;;;0,057;0,042;0,018;0,016;0,044;;0,032;0,145;0,047;-0,022;
2024-07-05;0,039;0,020;0,032;0,040;0,071;0,036;0,017;0,057;0,041;0,019;0,014;0,046;0,032;0,031;0,143;0,046;-0,022;
2024-07-08;0,040;0,019;0,033;0,043;0,073;0,039;0,017;0,058;0,042;0,020;0,014;0,046;0,033;0,032;0,144;0,050;-0,021;
2024-07-09;0,045;0,026;0,033;0,046;0,074;0,041;0,021;0,063;0,037;0,025;0,011;0,049;0,033;0,036;0,144;0,053;-0,021;
2024-07-10;0,044;0,030;0,031;0,042;0,072;0,041;0,022;0,071;0,039;0,026;0,013;0,052;0,032;0,036;0,148;0,053;-0,021;
2024-07-11;0,043;0,027;0,035;0,051;0,082;0,048;0,022;0,076;0,042;0,032;0,016;0,046;0,034;0,037;0,143;0,055;-0,020;
2024-07-12;0,047;0,031;0,038;0,049;0,085;0,053;;0,080;0,049;0,032;0,020;0,048;0,037;0,040;;;-0,019;
2024-07-18;;;;;;;0,023;;;;;;;;;;;
2024-07-19;0,048;0,025;0,034;0,044;0,100;0,062;;;;;;;;;0,130;0,044;;
2024-07-22;;;;;;;0,026;0,076;0,048;0,023;0,022;0,048;0,036;0,027;0,133;0,044;-0,018;
2024-07-23;0,055;0,035;0,042;0,050;0,103;0,070;0,031;0,072;0,047;0,027;0,022;0,053;0,041;0,032;0,131;0,048;-0,018;
2024-07-24;0,058;0,031;0,034;0,047;0,104;0,067;0,033;0,070;0,042;0,023;0,015;0,044;0,036;0,030;0,123;0,045;-0,018;
2024-07-25;0,058;0,026;0,031;0,042;0,104;0,070;;0,071;0,040;0,020;0,016;0,042;0,030;0,028;;;-0,017;
2024-07-26;;;;;;;0,034;;;;;;;;0,122;0,043;;
2024-07-29;0,062;0,034;0,038;0,049;0,111;0,076;0,035;0,071;0,043;0,022;0,023;0,049;0,037;0,031;0,124;0,045;-0,017;
2024-07-30;0,062;0,030;0,039;0,049;0,110;0,075;0,034;0,070;0,045;0,017;0,024;0,045;0,035;0,026;0,120;0,041;-0,017;
2024-07-31;0,061;0,036;0,036;0,048;0,110;0,072;0,032;0,068;0,047;0,020;0,022;0,048;0,035;0,027;0,122;0,044;-0,016;
2024-08-01;0,059;0,028;0,032;0,049;0,108;0,072;0,032;0,065;0,038;0,020;0,016;0,041;0,036;0,028;0,112;0,044;-0,016;
2024-08-02;0,055;-0,001;0,020;0,031;0,096;0,059;;0,064;0,027;0,007;0,005;0,028;0,016;0,012;;;-0,015;
2024-08-05;;;;;;;0,025;;;;;;;;0,047;0,005;;
2024-08-06;0,037;-0,014;0,007;0,019;0,081;0,050;0,023;0,049;0,017;-0,006;-0,007;0,013;0,008;-0,003;0,058;0,011;-0,016;
2024-08-07;0,043;0,002;0,010;0,026;0,085;0,051;0,019;0,057;0,021;0,001;-0,001;0,008;0,013;0,001;0,061;0,016;-0,016;
2024-08-08;0,042;0,001;0,007;0,020;0,076;0,047;0,020;0,056;0,023;0,001;0,004;0,018;0,010;0,003;0,061;0,019;-0,016;
2024-08-09;0,046;-0,003;0,011;0,030;0,080;0,049;0,024;0,061;0,027;0,009;0,008;0,021;0,013;0,009;0,064;0,025;-0,015;
2024-08-12;0,047;;0,010;0,030;0,078;0,048;0,024;;;;;;0,014;0,013;0,065;0,029;-0,015;
2024-08-13;0,045;0,010;0,013;0,036;0,081;0,052;0,025;0,062;0,029;;;;0,019;0,014;0,069;0,031;-0,014;
2024-08-14;0,042;0,008;0,015;0,037;0,079;0,051;0,023;;;;;;;0,011;0,071;0,029;-0,014;
2024-08-15;;;;;;;;0,064;0,036;0,013;0,020;0,036;0,028;;;;;
2024-08-16;0,053;0,023;0,028;0,047;0,087;0,061;0,027;0,063;0,037;;;;0,028;0,020;0,075;0,039;-0,014;
2024-08-19;0,048;0,024;0,028;0,045;0,087;0,058;0,024;0,068;0,038;0,022;0,021;0,039;0,027;0,021;0,073;0,036;-0,013;
2024-08-20;0,048;0,022;0,024;0,046;0,085;0,054;0,020;0,066;0,036;;;;0,026;0,016;0,073;0,032;-0,013;
2024-08-21;0,044;0,021;0,024;0,041;0,082;0,052;0,017;0,062;0,035;0,012;0,017;0,031;0,025;0,012;0,075;0,029;-0,013;
2024-08-22;0,045;0,028;0,026;0,043;0,083;0,054;;0,064;0,038;0,011;0,016;0,027;0,027;0,014;;;-0,013;
2024-08-27;;;;;;;0,017;;;;;;;;0,072;0,023;;
2024-08-28;0,042;0,029;0,027;0,039;0,088;0,056;0,016;0,071;0,041;0,012;0,017;0,025;0,025;0,007;0,072;0,022;-0,012;
2024-08-29;0,045;0,031;0,029;0,041;0,087;0,054;0,016;0,068;0,043;0,012;0,020;0,027;0,027;0,008;0,071;0,024;-0,012;
2024-08-30;0,049;0,033;0,031;0,043;0,091;0,057;0,018;0,072;0,046;0,015;0,022;0,031;0,028;0,012;0,072;0,026;-0,012;
2024-09-02;0,049;0,030;;;;;;0,071;0,045;0,013;0,024;0,032;;0,009;0,072;0,025;-0,012;
2024-09-03;0,048;0,028;0,032;0,043;0,091;0,056;0,020;0,063;0,040;0,013;0,019;0,024;0,026;0,008;0,070;0,025;-0,011;
2024-09-04;0,050;0,018;0,024;0,034;0,090;0,052;;0,063;0,035;0,009;0,015;0,023;0,019;0,001;;;-0,011;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;;;0,028;;;;;;;;0,065;0,054;;
2024-10-11;0,058;0,034;0,037;0,063;0,108;0,063;0,029;0,088;0,048;0,059;0,021;0,049;0,036;0,054;0,067;0,055;-0,010;
2024-10-14;0,059;;0,038;0,067;0,107;0,066;;0,085;0,049;0,059;0,019;0,053;0,041;0,057;0,069;0,057;-0,009;
2024-10-15;0,060;0,032;0,038;0,071;0,110;0,070;0,031;0,083;0,048;0,052;0,016;0,051;0,040;0,049;0,068;0,052;-0,009;
2024-10-16;0,058;0,025;0,035;0,062;0,109;0,070;0,032;0,081;0,048;0,049;0,014;0,054;0,038;0,050;0,066;0,055;-0,008;
2024-10-17;0,057;0,031;0,042;0,068;0,110;0,075;0,035;0,078;0,049;0,050;0,021;0,060;0,043;0,050;0,069;0,055;-0,008;
2024-10-18;0,056;0,029;0,042;0,067;0,109;0,072;0,035;0,080;0,051;0,056;0,021;0,059;0,044;0,059;0,070;0,061;-0,008;
2024-10-21;0,056;0,029;0,043;0,068;0,109;0,074;0,035;0,072;0,048;0,055;0,020;0,061;0,045;0,056;0,068;0,059;-0,008;
2024-10-22;0,050;0,018;0,039;0,062;0,102;0,068;0,033;0,070;0,046;0,054;0,017;0,060;0,043;0,056;0,067;0,057;-0,008;
2024-10-23;0,056;0,012;0,038;0,064;0,105;0,068;0,035;0,069;0,047;0,056;0,015;0,057;0,043;0,060;0,066;0,059;-0,008;
2024-10-24;0,053;0,013;0,041;0,064;0,105;0,066;0,035;0,066;0,041;0,051;0,014;0,058;0,040;0,055;0,067;0,056;-0,008;
2024-10-25;0,053;0,017;0,044;0,070;0,107;0,064;;0,068;0,046;0,051;0,016;0,057;0,040;0,056;;;-0,008;
2024-10-28;;;;;;;0,035;;;;;;;;0,069;0,058;;
2024-10-29;0,059;0,022;0,047;0,072;0,101;0,068;0,038;0,068;0,047;0,056;0,019;0,062;0,045;0,058;0,070;0,056;-0,007;
2024-10-30;0,055;0,025;0,044;0,070;0,104;0,067;0,037;0,064;0,043;0,049;0,014;0,060;0,043;0,054;0,066;0,052;-0,007;
2024-10-31;0,054;0,020;0,038;0,065;0,106;0,062;0,038;0,059;0,040;0,049;0,009;0,055;0,033;0,051;0,061;0,050;-0,008;
2024-11-01;;;;;;;;0,061;0,042;0,049;0,014;0,059;0,038;0,053;;0,052;;
2024-11-04;0,054;;0,041;0,064;0,111;0,066;;0,061;0,044;0,052;0,013;0,058;0,037;0,056;;;-0,008;
2024-11-05;;;;;;;0,039;;;;;;;;0,063;0,058;;
2024-11-06;0,065;0,033;0,050;0,079;0,115;0,080;0,044;0,050;0,040;0,059;0,010;0,082;0,049;0,065;0,071;0,062;-0,008;
2024-11-07;0,062;0,036;0,055;0,084;0,121;0,078;0,045;0,060;0,046;0,060;0,014;0,080;0,048;0,061;;;-0,008;
2024-11-08;;;;;;;;;;;;;;;0,071;0,062;;
2024-11-11;0,063;0,041;0,059;0,093;0,118;0,082;;0,063;0,048;0,056;0,013;0,088;0,055;0,062;;;-0,007;
2024-11-12;;;;;;;0,049;;;;;;;;0,073;0,053;;
2024-11-13;0,056;0,032;0,053;0,096;0,112;0,079;0,049;0,051;0,037;0,043;0,000;0,089;0,051;0,054;0,074;0,052;-0,007;
2024-11-14;0,060;0,034;0,057;0,094;0,112;0,078;;0,053;0,040;0,039;0,005;0,089;0,055;0,051;;;-0,007;
2024-11-15;;;;;;;0,051;;;;;;;;0,073;0,050;;
2024-11-18;0,054;0,031;0,052;0,083;0,113;0,071;0,051;0,044;0,033;0,042;0,002;0,083;0,043;0,050;0,070;0,050;-0,007;
2024-11-19;0,055;0,030;0,047;0,079;0,109;0,069;0,050;0,045;0,031;0,042;-0,004;0,083;0,042;0,053;0,069;0,052;-0,007;
2024-11-20;;0,025;0,050;0,084;0,110;0,074;0,050;0,040;0,029;0,044;-0,005;0,086;0,046;0,056;0,072;0,056;-0,007;
2024-11-21;0,057;0,030;0,051;0,092;0,116;0,077;0,052;0,037;0,030;;;;0,046;0,052;0,073;0,053;-0,007;
2024-11-22;0,067;0,037;0,063;0,099;0,123;0,088;0,055;0,044;0,034;0,045;-0,001;0,094;0,053;0,054;0,077;0,054;-0,007;
2024-11-25;0,071;0,040;0,068;0,103;0,132;0,090;0,056;0,045;0,035;0,043;0,004;0,093;0,050;0,051;0,075;0,053;-0,006;
2024-11-26;0,070;0,035;0,066;0,101;0,128;0,086;0,053;0,040;0,032;0,042;-0,004;0,093;0,050;0,048;0,076;0,052;-0,005;
2024-11-27;0,070;0,035;0,063;0,098;0,128;0,086;0,051;0,047;0,035;0,037;-0,005;0,088;0,050;0,048;;;-0,005;
2024-11-28;;;;;;;;;;;;;;;0,073;0,045;;
2024-11-29;0,065;0,040;0,063;0,097;0,124;0,085;0,050;0,049;0,037;0,031;-0,003;0,090;0,050;0,044;0,072;0,044;-0,004;
2024-12-02;0,069;0,048;0,070;0,099;0,124;0,085;0,053;0,052;0,043;0,037;0,000;0,096;0,056;0,052;0,078;0,051;-0,004;
2024-12-03;0,071;0,053;0,072;0,098;0,126;0,088;0,053;0,052;0,047;0,040;0,005;0,094;0,059;0,056;0,077;0,055;-0,004;
2024-12-04;0,075;0,057;0,075;0,103;0,127;0,090;0,055;0,052;0,049;0,041;0,007;0,097;0,064;0,056;0,078;0,055;-0,005;
2024-12-05;0,074;0,053;0,073;0,096;0,122;0,084;0,051;0,048;0,049;;;;0,062;0,049;0,075;0,053;-0,005;
2024-12-06;0,072;0,046;0,080;0,093;0,119;0,083;;0,051;0,051;;;;0,064;0,053;;;-0,004;
2024-12-09;;;;;;;0,052;;;;;;;;0,079;0,058;;
2024-12-10;0,076;0,046;0,081;0,090;0,116;0,080;0,053;0,047;0,047;0,044;0,005;0,095;0,064;0,058;0,080;0,060;-0,005;
2024-12-11;0,079;0,057;0,085;0,094;0,117;0,083;;0,047;0,047;0,044;0,005;0,100;0,065;0,057;;;-0,005;
2024-12-12;;;;;;;0,053;;;;;;;;0,081;0,063;;
2024-12-13;0,079;0,051;0,085;0,095;0,110;0,075;0,054;0,041;0,043;0,043;-0,001;0,094;0,063;0,057;0,079;0,060;-0,006;
2024-12-16;0,078;0,046;0,086;0,095;0,108;0,075;0,052;0,038;0,040;0,038;-0,004;0,095;0,062;0,055;0,080;0,056;-0,006;
2024-12-17;0,072;0,041;0,083;0,093;0,102;0,068;0,051;0,037;0,038;0,029;-0,008;0,092;0,060;0,053;0,081;0,057;-0,006;
2024-12-18;0,073;0,045;0,083;0,090;0,101;0,066;0,051;0,038;0,040;0,032;-0,008;0,081;0,061;0,056;0,082;0,058;-0,006;
2024-12-19;0,074;0,039;0,078;0,079;0,088;0,060;0,053;0,027;0,031;0,033;-0,013;0,085;0,054;0,054;0,083;0,055;-0,007;
2024-12-20;0,068;0,034;0,074;0,074;0,085;0,055;;0,032;0,025;0,030;-0,013;0,088;0,049;0,050;;;-0,007;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;0,046;;;;;;;;0,087;0,059;;
2025-02-19;0,022;0,039;0,099;0,090;0,083;0,053;0,046;0,039;0,051;0,053;0,025;0,087;0,063;0,057;0,084;0,059;-0,004;
2025-02-20;0,024;0,040;0,096;0,088;0,084;0,051;0,046;0,039;0,053;0,046;0,026;0,083;0,062;0,052;0,080;0,054;-0,003;
2025-02-21;0,021;0,037;0,096;0,085;0,083;0,048;0,044;0,039;0,053;0,054;0,026;0,077;0,058;0,055;0,079;0,056;-0,003;
2025-02-24;0,015;;0,089;0,071;0,077;0,045;;0,043;0,054;0,049;0,025;0,073;0,053;0,053;;;-0,003;
2025-02-25;0,015;;;;;;0,046;0,044;0,057;;;;;;0,075;0,046;;
2025-02-26;;0,039;0,093;0,074;0,081;0,050;0,045;;;0,047;0,032;0,071;0,055;0,050;0,079;0,051;-0,002;
2025-02-27;0,010;0,040;0,091;0,072;0,080;0,049;0,047;0,042;0,058;0,049;0,028;0,069;0,053;0,051;0,082;0,052;-0,001;
2025-02-28;0,007;0,035;0,093;0,069;0,082;0,050;0,051;0,043;0,056;0,037;0,025;0,076;0,050;0,039;0,084;0,041;-0,001;
2025-03-03;0,007;0,041;0,095;0,071;0,084;0,050;0,050;0,038;0,057;0,033;0,027;0,062;0,052;0,034;0,085;0,034;-0,001;
2025-03-04;-0,004;0,022;0,078;0,050;0,068;0,036;0,042;0,031;0,042;;;;0,041;0,030;0,076;0,032;-0,001;
2025-03-05;-0,005;0,023;0,071;0,044;0,067;0,028;0,035;0,024;0,050;0,025;0,022;0,049;0,035;0,027;0,070;0,030;-0,002;
2025-03-06;-0,013;0,018;0,058;0,036;0,059;0,018;;0,014;0,050;0,028;0,023;0,035;0,028;0,031;;;-0,003;
2025-03-10;;;;;;;0,024;;;;;;;;0,066;0,021;;
2025-03-11;-0,023;0,004;0,030;0,015;0,048;0,010;;0,003;0,032;0,015;0,014;0,020;0,012;0,018;;;-0,003;
2025-03-12;;;;;;;0,021;;;;;;;;0,063;0,017;;
2025-03-13;-0,019;0,016;0,032;0,019;0,047;0,012;;0,003;0,032;0,020;0,017;0,024;0,017;0,021;;;-0,003;
2025-03-14;;;;;;;0,027;;;;;;;;0,063;0,025;;
2025-03-17;-0,014;0,020;0,032;0,028;0,054;0,017;;0,014;0,039;0,030;0,024;0,032;0,021;0,026;;;-0,003;
2025-03-18;;;;;;;0,021;;;;;;;;0,062;0,032;;
2025-03-19;-0,004;0,023;0,035;0,031;0,053;0,021;0,023;0,009;0,037;0,037;0,027;0,034;0,020;0,033;0,063;0,035;-0,003;
2025-03-20;0,000;;0,037;0,035;0,055;0,023;0,025;0,010;0,036;0,034;0,025;0,034;0,023;0,034;0,061;0,035;-0,003;
2025-03-21;0,005;0,023;0,029;0,027;0,046;0,015;0,025;0,004;0,030;0,030;0,021;0,033;0,017;0,029;0,062;0,030;-0,003;
2025-03-24;0,011;0,024;0,035;0,036;0,046;0,021;0,023;-0,003;0,029;0,029;0,019;0,040;0,023;0,031;0,061;0,032;-0,003;
2025-03-25;0,009;0,020;0,033;0,037;0,047;0,019;0,022;-0,002;0,031;0,024;0,016;0,036;0,021;0,023;0,065;0,026;-0,003;
2025-03-26;0,004;0,020;0,032;0,032;0,044;0,019;0,021;-0,005;0,025;0,025;0,010;0,031;0,020;0,025;0,063;0,027;-0,003;
2025-03-27;0,008;0,023;0,030;0,027;0,044;0,018;0,021;-0,003;0,021;0,026;0,006;0,029;0,018;0,026;0,065;0,026;-0,002;
2025-03-28;0,003;0,008;0,018;0,014;0,039;0,012;0,020;0,003;0,018;0,021;0,002;0,018;0,010;0,021;0,060;0,021;-0,002;
2025-03-31;;0,003;0,013;0,003;0,032;0,008;0,019;-0,002;0,011;0,014;-0,005;0,021;0,005;0,016;0,055;0,016;-0,002;
2025-04-01;-0,003;-0,001;0,019;0,009;0,035;0,012;0,020;;;0,018;-0,000;0,022;0,010;0,019;0,057;0,017;-0,002;
2025-04-02;0,000;-0,002;0,018;0,012;0,036;0,009;0,019;-0,000;0,011;0,016;-0,002;0,021;0,005;0,017;0,052;0,014;-0,002;
2025-04-03;-0,013;-0,024;-0,015;-0,009;0,021;-0,003;0,008;0,001;-0,002;-0,001;-0,015;-0,013;-0,006;0,001;0,040;0,001;-0,002;
2025-04-04;-0,015;-0,034;-0,022;-0,027;0,009;-0,007;0,012;-0,009;-0,017;0,006;-0,022;-0,024;-0,013;;0,036;;-0,002;
2025-04-07;-0,023;-0,052;-0,035;-0,046;-0,007;-0,025;0,005;-0,034;-0,037;-0,029;-0,043;-0,021;-0,032;-0,026;0,029;-0,027;-0,002;
2025-04-08;-0,010;-0,022;-0,016;-0,018;0,007;-0,013;0,010;-0,033;-0,030;-0,028;-0,033;-0,026;-0,017;-0,028;0,030;-0,027;-0,003;
2025-04-09;-0,020;-0,040;-0,031;-0,037;-0,015;-0,027;0,002;-0,052;-0,044;-0,027;-0,046;0,008;-0,033;-0,036;0,014;-0,030;-0,003;
2025-04-10;;-0,024;-0,019;-0,011;0,002;-0,013;0,004;-0,034;-0,027;;;;-0,014;-0,023;0,008;-0,023;-0,003;
2025-04-11;-0,021;-0,026;-0,017;-0,019;-0,006;-0,013;-0,005;-0,026;-0,026;-0,014;-0,025;-0,009;-0,016;-0,018;0,003;-0,011;-0,004;
2025-04-14;;-0,019;-0,011;-0,012;-0,001;-0,006;-0,008;-0,014;-0,015;-0,013;-0,018;-0,010;-0,011;-0,014;0,003;-0,015;-0,003;
2025-04-15;-0,011;-0,014;-0,012;-0,008;0,003;-0,002;-0,004;-0,005;-0,005;-0,009;-0,010;-0,009;-0,002;-0,005;0,002;-0,004;-0,003;
2025-04-16;-0,007;-0,009;-0,013;-0,010;0,003;-0,001;0,000;-0,007;-0,008;-0,011;-0,005;-0,014;-0,008;-0,011;0,006;-0,011;-0,003;
2025-04-17;-0,002;-0,008;-0,016;-0,014;0,001;-0,004;-0,002;-0,008;-0,011;-0,011;-0,010;-0,015;-0,016;-0,014;0,007;-0,014;;
2025-04-22;-0,002;-0,010;-0,022;-0,031;-0,006;-0,013;-0,011;-0,002;-0,010;-0,017;-0,012;-0,022;-0,025;-0,019;0,014;-0,016;-0,002;
2025-04-23;0,001;-0,005;-0,003;-0,011;0,005;-0,001;;0,000;-0,004;-0,007;-0,009;-0,015;-0,007;-0,003;;;-0,002;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;0,000;;;;;0,000;;;;;;;;0,000;0,000;;
2025-04-29;0,000;;0,000;0,000;0,000;0,000;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;0,000;
