
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2023-12-11;-0,033;-0,057;-0,094;-0,056;;;;-0,029;;-0,009;-0,014;-0,036;-0,040;-0,017;-0,016;-0,028;-0,059;
2023-12-12;;;;;-0,013;-0,028;-0,035;;;;;;;;;;;
2023-12-13;-0,036;-0,063;-0,103;-0,059;-0,012;-0,028;-0,037;-0,031;;-0,009;-0,014;-0,035;-0,043;-0,020;-0,020;-0,028;-0,060;
2023-12-14;-0,040;-0,057;-0,094;-0,038;-0,012;-0,025;-0,028;-0,037;;-0,012;-0,015;-0,031;-0,033;-0,011;-0,009;-0,028;-0,041;
2023-12-15;-0,035;-0,053;-0,087;-0,036;-0,012;-0,024;-0,026;-0,033;;-0,010;-0,014;-0,029;-0,032;-0,009;-0,007;-0,028;-0,038;
2023-12-18;-0,034;-0,050;-0,080;-0,038;-0,013;-0,025;-0,027;-0,037;;-0,011;-0,015;-0,031;-0,036;-0,010;-0,008;-0,027;-0,043;
2023-12-19;-0,036;-0,048;-0,080;-0,035;-0,012;-0,024;-0,026;-0,039;;-0,011;-0,017;-0,029;-0,030;-0,008;-0,005;-0,027;-0,038;
2023-12-20;-0,032;-0,041;-0,075;-0,034;-0,012;-0,025;-0,025;-0,042;;-0,021;-0,030;-0,028;-0,027;-0,008;-0,006;-0,027;-0,038;
2023-12-21;-0,032;-0,044;-0,075;-0,035;-0,012;-0,026;-0,027;-0,038;;-0,019;-0,025;-0,031;-0,030;-0,011;-0,009;-0,027;-0,044;
2023-12-22;-0,038;-0,045;-0,076;-0,033;-0,013;-0,026;-0,026;-0,056;;-0,021;-0,025;-0,031;-0,031;-0,009;-0,006;-0,027;-0,040;
2023-12-27;-0,035;-0,043;-0,071;-0,029;-0,012;-0,025;-0,024;-0,055;;-0,021;-0,028;-0,030;-0,027;-0,008;-0,005;-0,027;-0,037;
2023-12-28;-0,032;-0,042;-0,073;-0,028;-0,012;-0,024;-0,024;-0,043;;-0,022;-0,029;-0,030;-0,027;-0,007;-0,004;-0,026;-0,035;
2023-12-29;-0,034;-0,047;-0,071;-0,030;-0,011;-0,022;-0,023;-0,037;;-0,019;-0,023;-0,028;-0,022;-0,005;-0,002;-0,026;-0,035;
2024-01-02;;;;-0,034;-0,011;-0,020;-0,021;-0,040;;-0,017;-0,022;-0,029;-0,025;-0,007;-0,004;-0,026;-0,042;
