
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-03-22;-0,089;-0,049;;-0,100;-0,061;-0,038;-0,036;-0,029;-0,089;-0,079;0,001;-0,076;-0,076;-0,205;-0,020;-0,018;0,032;
2023-03-23;-0,092;-0,045;;-0,104;-0,061;-0,037;-0,040;-0,037;-0,091;-0,080;0,002;-0,078;-0,077;-0,202;-0,015;-0,022;0,027;
2023-03-24;-0,095;-0,047;;-0,107;-0,063;-0,036;-0,037;-0,041;-0,096;-0,078;0,004;-0,084;-0,083;-0,208;-0,009;-0,017;0,035;
2023-03-27;-0,091;-0,045;;-0,103;;;-0,032;-0,034;-0,091;;0,001;-0,078;-0,077;;-0,013;-0,014;0,042;
2023-03-28;;;;;-0,064;-0,038;;;;-0,079;;;;-0,207;;;;
2023-03-29;-0,086;-0,045;;-0,098;-0,062;-0,039;-0,030;-0,028;-0,085;-0,075;0,000;-0,074;-0,074;-0,200;-0,013;-0,015;0,043;
2023-03-30;-0,083;-0,037;;-0,095;-0,059;-0,039;-0,030;-0,026;-0,079;-0,073;-0,001;-0,066;-0,066;-0,190;-0,010;-0,006;0,047;
2023-03-31;-0,081;-0,030;;-0,092;-0,057;-0,038;-0,027;-0,026;-0,075;-0,069;-0,001;-0,059;-0,059;-0,191;-0,013;-0,004;0,046;
2023-04-03;-0,077;-0,031;;-0,088;;;-0,024;-0,021;-0,075;;-0,001;-0,061;-0,061;;-0,012;0,001;0,050;
2023-04-04;;;;;-0,055;-0,036;;;;-0,070;;;;-0,186;;;;
2023-04-05;-0,083;-0,032;;-0,093;-0,056;-0,035;-0,021;-0,033;-0,081;-0,069;0,000;-0,064;-0,064;-0,189;-0,011;-0,000;0,052;
2023-04-06;-0,080;-0,029;;-0,090;-0,056;;-0,014;-0,033;-0,079;-0,068;;-0,063;;-0,185;-0,005;0,002;0,064;
2023-04-11;-0,076;-0,025;;-0,086;-0,056;-0,037;-0,011;-0,024;-0,074;-0,067;-0,002;-0,057;-0,057;-0,174;-0,006;0,006;0,067;
2023-04-12;-0,078;-0,029;;-0,089;-0,055;-0,037;-0,014;-0,026;-0,071;-0,069;-0,002;-0,054;-0,054;-0,171;-0,009;0,003;0,063;
2023-04-13;-0,080;-0,028;;-0,090;-0,054;-0,037;-0,015;-0,030;-0,070;-0,067;-0,002;-0,054;-0,054;-0,167;-0,010;0,001;0,064;
2023-04-14;-0,075;-0,021;;-0,084;-0,054;-0,038;-0,012;-0,023;-0,063;-0,067;-0,005;-0,046;-0,046;-0,167;-0,011;0,006;0,066;
2023-04-17;-0,075;-0,021;;-0,084;-0,055;-0,038;-0,012;-0,024;-0,061;-0,066;-0,007;-0,047;-0,047;-0,165;-0,014;0,008;0,065;
