
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2024-05-24;;0,027;0,013;0,036;;-0,020;0,072;0,062;0,025;;-0,012;0,030;0,029;0,005;0,011;0,054;0,087;
2024-05-27;;0,026;;;;;;;0,025;;-0,010;0,031;0,029;;0,009;0,051;0,084;
2024-05-28;0,039;;0,007;;-0,024;-0,019;;;;-0,004;;;;-0,001;;;;
2024-05-29;0,038;0,017;0,002;0,033;-0,025;-0,020;0,062;0,053;0,019;-0,005;-0,011;0,024;0,022;-0,007;0,005;0,046;0,073;
2024-05-30;0,035;0,018;0,007;0,034;-0,024;-0,020;0,063;0,052;0,021;-0,006;-0,012;0,024;0,022;;0,005;0,046;0,074;
2024-05-31;;0,021;;0,029;;;0,062;0,050;0,022;;-0,011;0,026;0,024;;0,002;0,045;0,074;
2024-06-03;0,032;;0,005;;-0,023;-0,019;;;;-0,006;;;;-0,006;;;;
2024-06-04;0,032;0,015;0,002;0,028;-0,022;-0,018;0,064;0,043;0,019;-0,005;-0,008;0,023;0,021;-0,019;0,002;0,044;0,076;
2024-06-05;0,036;0,014;0,004;0,028;-0,022;-0,018;0,061;0,040;0,020;-0,003;;0,025;0,023;-0,016;0,002;0,046;0,079;
2024-06-07;0,039;0,017;0,004;0,036;-0,022;-0,019;0,073;0,046;0,024;-0,003;-0,010;0,027;0,025;-0,017;;;;
2024-06-10;0,040;0,016;0,007;0,034;-0,023;-0,019;0,073;0,045;0,020;-0,003;-0,011;0,024;0,022;-0,015;-0,001;0,050;0,086;
2024-06-11;0,038;0,014;0,001;0,033;-0,023;-0,019;0,070;0,041;0,016;-0,002;-0,010;0,024;0,022;-0,021;-0,006;0,045;0,084;
2024-06-12;0,035;0,014;0,006;0,033;-0,021;-0,018;0,066;0,046;0,023;-0,003;-0,008;0,034;0,032;-0,018;-0,004;0,044;0,081;
2024-06-13;0,041;0,011;-0,001;0,037;-0,021;-0,017;0,069;0,046;0,019;-0,000;-0,008;0,027;0,026;-0,020;-0,005;0,040;0,076;
2024-06-14;0,042;0,007;-0,004;0,042;-0,023;-0,017;0,074;0,048;0,015;0,001;-0,005;0,022;0,020;-0,019;0,000;0,044;0,081;
2024-06-17;0,043;0,005;-0,004;0,039;-0,023;-0,017;0,072;0,044;0,014;0,001;-0,005;0,020;0,018;-0,016;-0,000;0,042;0,080;
2024-06-18;0,043;0,002;-0,002;0,039;-0,022;-0,017;0,068;0,045;0,013;0,001;-0,005;0,019;0,017;-0,015;-0,002;0,042;0,076;
2024-06-19;;0,002;-0,003;;;-0,017;;;0,013;;-0,006;0,019;0,017;-0,014;-0,003;0,039;0,074;
2024-06-20;0,041;0,002;0,001;0,042;-0,022;-0,017;0,067;0,046;0,016;0,000;;0,024;0,022;-0,010;-0,003;0,039;0,075;
2024-06-24;;0,005;;0,038;;;0,073;0,047;0,018;;-0,006;0,025;0,023;;-0,001;0,044;0,081;
2024-06-25;0,042;;0,001;;-0,021;-0,017;;;;0,001;;;;-0,006;;;;
2024-06-26;0,042;0,001;-0,000;0,041;-0,021;-0,017;0,080;0,047;0,016;0,001;-0,005;0,021;0,019;-0,007;-0,001;0,047;0,088;
2024-06-27;0,043;0,001;-0,001;0,041;-0,022;-0,017;0,078;0,047;0,016;0,002;-0,005;0,021;0,018;-0,002;0,000;0,049;0,085;
2024-06-28;0,041;-0,000;0,000;0,044;-0,021;-0,017;0,080;0,054;0,018;0,001;-0,005;0,022;0,020;0,001;0,001;0,048;0,085;
2024-07-01;0,043;-0,000;0,001;0,038;-0,021;-0,018;0,079;0,049;0,022;0,002;-0,006;0,025;0,022;0,001;0,000;0,042;0,081;
2024-07-02;0,042;0,000;0,001;0,039;-0,021;-0,017;0,073;0,048;0,017;0,002;-0,007;0,021;0,019;0,001;0,001;0,042;0,084;
2024-07-03;0,040;0,004;0,001;0,038;-0,020;-0,017;0,071;0,046;0,018;0,002;-0,007;0,024;0,021;0,000;0,000;0,040;0,080;
2024-07-04;;0,005;0,001;;;-0,017;;;0,020;;-0,006;0,025;0,022;0,002;-0,001;0,039;0,075;
2024-07-05;0,043;0,009;-0,000;0,040;-0,019;-0,016;0,070;0,044;0,019;0,004;-0,006;0,025;0,023;0,000;0,001;0,040;0,077;
2024-07-08;0,045;0,007;0,001;0,042;-0,019;-0,016;0,075;0,048;0,017;0,006;-0,005;0,025;0,022;0,002;0,003;0,043;0,079;
2024-07-09;0,045;0,008;-0,000;0,043;-0,019;-0,016;0,076;0,048;0,012;0,006;-0,006;0,021;0,019;0,002;0,005;0,043;0,083;
2024-07-10;0,048;0,009;0,001;0,044;-0,019;-0,016;0,078;0,049;0,013;0,007;-0,005;0,021;0,019;0,000;0,006;0,041;0,083;
2024-07-11;0,045;0,010;0,003;0,045;-0,018;-0,015;0,081;0,057;0,016;0,006;-0,003;0,026;0,024;0,005;0,005;0,045;0,089;
2024-07-12;;0,019;;0,049;;;0,089;0,070;0,024;;-0,003;0,038;0,036;;0,008;0,045;0,093;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;0,043;;0,003;;-0,017;-0,014;;;;0,007;;;;0,011;;;;
2024-07-22;0,051;0,024;0,006;0,048;-0,016;-0,014;0,091;0,079;0,028;0,010;-0,002;0,036;0,034;0,014;0,015;0,045;0,097;
2024-07-23;0,052;0,025;0,010;0,050;-0,016;-0,014;0,095;0,087;0,026;0,011;-0,001;0,036;0,033;0,016;0,018;0,050;0,103;
2024-07-24;0,043;0,025;0,007;0,045;-0,016;-0,013;0,094;0,085;0,023;0,006;-0,001;0,031;0,029;0,014;;;;
2024-07-25;;0,019;;0,037;;;0,094;0,081;0,016;;-0,001;0,023;0,021;;0,021;0,045;0,108;
2024-07-26;0,047;;0,006;;-0,016;-0,013;;;;0,008;;;;0,012;;;;
2024-07-29;0,048;0,026;0,006;0,048;-0,016;-0,012;0,092;0,093;0,025;0,009;-0,000;0,031;0,029;0,010;0,023;0,049;0,115;
2024-07-30;0,043;0,025;0,007;0,044;-0,016;-0,012;0,091;0,095;0,025;0,007;0,000;0,032;0,029;0,009;0,021;0,050;0,114;
2024-07-31;0,047;0,025;0,007;0,043;-0,015;-0,011;0,085;0,092;0,025;0,010;0,000;0,033;0,030;0,007;0,020;0,050;0,113;
2024-08-01;0,038;0,024;-0,001;0,043;-0,014;-0,010;0,089;0,088;0,022;0,007;0,001;0,030;0,028;0,000;0,018;0,047;0,106;
2024-08-02;;0,007;;0,023;;;0,081;0,064;0,005;;0,003;0,011;0,008;;0,021;0,049;0,106;
2024-08-05;0,010;;-0,019;;-0,018;-0,010;;;;-0,005;;;;-0,029;;;;
2024-08-06;0,015;-0,004;-0,022;0,014;-0,017;-0,011;0,074;0,057;-0,007;-0,004;0,002;-0,003;-0,005;-0,031;0,018;0,033;0,086;
2024-08-07;0,009;0,004;-0,019;0,016;-0,016;-0,011;0,069;0,059;-0,002;-0,006;0,000;0,007;0,005;-0,031;0,013;0,033;0,084;
2024-08-08;0,020;0,002;-0,018;0,014;-0,016;-0,011;0,074;0,059;-0,001;-0,002;0,000;0,004;0,002;-0,032;0,014;0,031;0,082;
2024-08-09;0,022;0,006;-0,012;0,017;-0,015;-0,010;0,080;0,060;0,002;-0,001;0,001;0,008;0,006;-0,030;0,017;0,038;0,091;
2024-08-12;0,023;0,007;-0,012;0,019;-0,015;-0,010;0,079;0,060;0,002;0,000;0,001;0,009;0,007;-0,024;0,016;0,038;0,092;
2024-08-13;;0,007;-0,010;0,025;-0,014;-0,010;0,084;0,060;0,005;0,003;0,002;0,012;0,010;-0,022;0,018;0,035;0,091;
2024-08-14;0,027;;-0,008;;-0,014;-0,010;;;;0,004;0,001;;0,012;-0,019;;;;
2024-08-15;0,036;0,012;;0,033;;;0,088;0,068;0,014;;;0,021;;;0,020;0,041;0,098;
2024-08-16;0,038;0,012;0,001;0,034;-0,012;-0,010;0,090;0,070;0,014;0,008;0,001;0,020;0,018;-0,011;0,020;0,046;0,104;
2024-08-19;0,036;0,012;0,003;0,033;-0,011;-0,010;0,086;0,065;0,015;0,007;0,001;0,022;0,020;-0,010;0,019;0,044;0,100;
2024-08-20;0,031;0,012;-0,002;0,031;-0,011;-0,010;0,086;0,061;0,013;0,006;0,001;0,021;0,020;-0,021;0,015;0,041;0,100;
2024-08-21;0,034;0,009;-0,002;0,031;-0,011;-0,009;0,086;0,060;0,012;0,007;0,001;0,020;0,018;-0,021;0,013;0,039;0,098;
2024-08-22;;0,010;;0,034;;;0,087;0,063;0,015;;0,000;0,023;0,021;;0,014;0,039;0,100;
2024-08-27;0,035;;0,004;;-0,009;-0,009;;;;0,007;;;;-0,023;;;;
2024-08-28;0,033;0,010;0,003;0,034;-0,009;-0,009;0,087;0,067;0,017;0,007;-0,001;0,026;0,025;-0,026;0,012;0,040;0,100;
2024-08-29;0,035;0,012;0,006;0,034;-0,009;-0,009;0,089;0,069;0,020;0,008;-0,001;0,028;0,027;-0,023;0,011;0,040;0,103;
2024-08-30;0,038;0,015;0,008;0,036;-0,009;-0,010;0,092;0,073;0,022;0,009;-0,001;0,030;0,029;-0,023;0,011;0,042;0,105;
2024-09-02;;0,009;0,011;;;-0,010;;;0,021;;-0,002;0,028;0,026;-0,015;0,010;0,044;0,105;
2024-09-03;0,030;0,007;0,008;0,032;-0,009;-0,009;0,093;0,069;0,019;0,007;-0,001;0,026;0,025;-0,021;0,010;0,045;0,107;
2024-09-04;;0,004;;0,025;;;0,089;0,062;0,014;;-0,000;0,019;0,017;;0,015;0,045;0,104;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;0,052;;0,005;;-0,006;-0,007;;;;0,015;;;;-0,037;;;;
2024-10-11;0,054;0,005;0,009;0,047;-0,005;-0,007;0,077;0,084;0,013;0,016;0,000;0,023;0,021;-0,035;0,014;0,046;0,084;
2024-10-14;0,059;0,005;0,010;0,053;-0,005;-0,007;0,082;0,090;0,014;0,018;0,000;0,023;0,021;-0,038;0,015;0,047;0,086;
2024-10-15;0,054;0,007;0,011;0,053;-0,004;-0,006;0,079;0,093;0,011;0,017;0,001;0,023;0,022;-0,036;0,015;0,050;0,088;
2024-10-16;0,060;0,005;0,010;0,052;-0,004;-0,006;0,082;0,095;0,010;0,019;0,002;0,019;0,017;-0,033;0,017;0,049;0,087;
2024-10-17;0,061;0,011;0,017;0,058;-0,004;-0,006;0,085;0,099;0,013;0,020;0,002;0,022;0,020;-0,031;0,020;0,053;0,091;
2024-10-18;0,062;0,014;0,014;0,057;-0,004;-0,005;0,085;0,100;0,016;0,021;0,002;0,023;0,021;-0,033;0,019;0,054;0,091;
2024-10-21;0,061;0,014;0,013;0,056;-0,004;-0,006;0,086;0,098;0,016;0,020;0,001;0,024;0,022;-0,037;0,019;0,056;0,091;
2024-10-22;0,059;0,011;0,010;0,053;-0,005;-0,006;0,082;0,092;0,014;0,019;0,001;0,019;0,018;-0,040;0,016;0,052;0,084;
2024-10-23;0,056;0,014;0,008;0,053;-0,005;-0,006;0,083;0,095;0,019;0,018;0,001;0,022;0,020;-0,042;0,016;0,053;0,086;
2024-10-24;0,056;0,014;0,010;0,050;-0,005;-0,006;0,083;0,091;0,015;0,018;0,002;0,021;0,018;-0,041;0,018;0,051;0,085;
2024-10-25;;0,010;;0,053;;;0,079;0,091;0,015;;0,002;0,021;0,019;;0,019;0,050;0,083;
2024-10-28;0,060;;0,014;;-0,005;-0,006;;;;0,020;;;;-0,041;;;;
2024-10-29;0,060;0,018;0,015;0,055;-0,005;-0,006;0,082;0,094;0,021;0,020;0,002;0,027;0,025;-0,035;0,021;0,055;0,088;
2024-10-30;0,059;0,017;0,010;0,056;-0,005;-0,007;0,078;0,098;0,016;0,020;0,002;0,021;0,020;-0,040;0,020;0,051;0,083;
2024-10-31;0,054;0,011;0,005;0,051;-0,006;-0,007;0,075;0,092;0,012;0,016;0,001;0,014;0,013;-0,040;0,021;0,053;0,083;
2024-11-01;0,057;0,014;;0,053;;;0,077;0,094;0,017;;;0,017;;;0,022;0,049;0,081;
2024-11-04;;0,014;;0,052;;;0,075;0,095;0,018;;0,001;0,019;0,018;;0,023;0,052;0,082;
2024-11-05;0,062;;0,011;;-0,005;-0,007;;;;0,019;;;;-0,037;;;;
2024-11-06;0,071;0,013;0,009;0,065;-0,005;-0,007;0,080;0,120;0,016;0,023;-0,000;0,018;0,016;-0,029;0,023;0,058;0,085;
2024-11-07;;0,015;;0,064;-0,004;;0,076;0,116;0,021;;-0,000;0,024;0,022;-0,023;0,020;0,055;0,077;
2024-11-08;0,073;;0,005;;;-0,006;;;;0,026;;;;;;;;
2024-11-11;;0,023;;0,069;;;0,094;0,130;0,020;;0,001;0,022;0,020;;0,024;0,058;0,082;
2024-11-12;0,071;;0,002;;-0,004;;;;;0,026;;;;-0,027;;;;
2024-11-13;0,071;0,013;0,001;0,069;-0,004;;0,087;0,130;0,006;0,026;0,001;0,007;0,005;-0,029;0,022;0,055;0,070;
2024-11-14;;0,016;;0,069;;;0,084;0,126;0,011;;0,002;0,012;0,010;;0,023;0,058;0,070;
2024-11-15;0,066;;0,002;;-0,005;;;;;0,024;;;;-0,028;;;;
2024-11-18;0,066;0,005;0,001;0,061;-0,004;-0,006;0,064;0,114;0,004;0,023;0,001;0,002;0,000;-0,030;0,023;0,058;0,054;
2024-11-19;0,067;0,002;-0,001;0,061;-0,004;-0,006;0,063;0,112;0,000;0,023;0,002;-0,003;-0,005;-0,040;0,023;0,056;0,053;
2024-11-20;0,072;0,005;-0,001;0,066;-0,004;-0,006;0,072;0,118;0,003;0,025;0,002;-0,001;-0,003;-0,039;0,023;0,057;0,052;
2024-11-21;0,074;0,003;0,002;0,068;-0,004;-0,006;0,072;0,122;0,002;0,025;0,002;-0,002;-0,004;-0,032;0,025;0,058;0,054;
2024-11-22;0,077;0,014;0,008;0,076;-0,004;-0,005;0,080;0,132;0,006;0,027;0,003;0,005;0,003;-0,028;0,027;0,061;0,061;
2024-11-25;0,078;0,014;0,008;0,075;-0,003;-0,005;0,079;0,135;0,005;0,028;0,004;0,005;0,003;-0,027;0,026;0,065;0,064;
2024-11-26;0,079;0,013;0,004;0,076;-0,003;-0,005;0,079;0,134;0,003;0,029;0,004;0,003;0,001;-0,027;0,026;0,064;0,062;
2024-11-27;0,074;0,014;;0,075;-0,003;;0,082;0,134;0,002;0,027;0,005;0,002;0,000;;0,025;0,065;0,063;
2024-11-28;;;0,005;;;-0,004;;;;;;;;-0,030;;;;
2024-11-29;0,077;0,015;0,007;0,075;-0,002;-0,004;0,082;0,132;0,005;0,029;0,005;0,005;0,003;-0,031;0,028;0,063;0,065;
2024-12-02;0,083;0,019;0,010;0,080;-0,002;-0,003;0,086;0,135;0,012;0,032;0,006;0,013;0,011;-0,022;0,030;0,067;0,068;
2024-12-03;0,085;0,021;0,013;0,083;-0,001;-0,003;0,087;0,134;0,017;0,032;0,006;0,016;0,014;-0,020;0,031;0,072;0,071;
2024-12-04;0,084;0,025;0,016;0,083;-0,001;-0,003;0,087;0,136;0,020;0,033;0,005;0,021;0,019;-0,015;0,031;0,071;0,069;
2024-12-05;0,081;0,021;0,014;0,080;-0,000;-0,003;0,081;0,131;0,020;0,032;0,003;0,021;0,019;-0,012;0,029;0,069;0,064;
2024-12-06;;0,022;;0,083;;;0,081;0,129;0,022;;0,003;0,023;0,022;;;;;
2024-12-09;0,080;;0,016;;0,000;-0,003;;;;0,032;;;;-0,008;;;;
2024-12-10;0,081;0,023;0,014;0,081;0,000;-0,003;0,080;0,124;0,023;0,033;0,003;0,024;0,022;-0,007;0,031;0,073;0,066;
2024-12-11;;0,027;;0,081;;;0,077;0,128;0,020;;0,003;0,022;0,020;;0,030;0,077;0,063;
2024-12-12;0,081;;0,011;;0,000;-0,004;;;;0,033;;;;-0,009;;;;
2024-12-13;0,078;0,023;0,008;0,079;-0,000;-0,004;0,070;0,126;0,016;0,031;0,002;0,017;0,016;-0,009;0,026;0,080;0,057;
2024-12-16;0,075;0,019;0,009;0,076;-0,001;-0,004;0,072;0,123;0,012;0,029;0,002;0,013;0,012;-0,011;0,026;0,075;0,054;
2024-12-17;0,075;0,017;0,004;0,074;-0,001;-0,004;0,069;0,123;0,010;0,029;0,002;0,011;0,010;-0,019;0,023;0,076;0,051;
2024-12-18;0,067;0,020;0,005;0,075;-0,002;-0,004;0,069;0,121;0,010;0,026;0,002;0,013;0,012;-0,018;0,024;0,077;0,056;
2024-12-19;0,066;0,011;-0,001;0,066;-0,004;-0,005;0,060;0,110;0,002;0,023;-0,001;0,002;0,001;-0,018;0,023;0,073;0,051;
2024-12-20;;0,010;;0,062;;;0,059;0,108;-0,010;;-0,000;-0,005;-0,006;;0,022;0,069;0,046;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;0,070;;0,025;;0,002;-0,003;;;;0,032;;;;0,023;;;;
2025-02-19;0,071;0,030;0,020;0,072;0,002;-0,003;0,068;0,094;0,043;0,032;-0,003;0,049;0,048;0,017;0,008;0,075;0,053;
2025-02-20;0,066;0,030;0,020;0,069;0,002;-0,003;0,070;0,088;0,045;0,030;-0,003;0,051;0,050;0,013;0,007;0,075;0,054;
2025-02-21;0,061;0,028;0,022;0,067;0,002;-0,002;0,067;0,082;0,044;0,027;-0,003;0,048;0,047;0,011;0,008;0,074;0,058;
2025-02-24;;0,025;;0,064;;;0,070;0,073;0,045;;-0,003;0,046;0,045;;0,007;0,074;0,063;
2025-02-25;0,058;;0,023;;0,003;-0,002;;;;0,025;;;;0,005;;;;
2025-02-26;0,059;0,026;0,024;0,062;0,003;-0,001;0,071;0,082;0,052;0,026;-0,002;0,051;0,050;0,010;0,009;0,079;0,070;
2025-02-27;0,057;0,022;0,023;0,062;0,003;-0,001;0,076;0,080;0,049;0,026;-0,001;0,046;0,045;0,008;0,010;0,076;0,067;
2025-02-28;0,058;0,020;0,023;0,055;0,003;-0,001;0,071;0,074;0,048;0,026;-0,002;0,045;0,044;0,008;0,012;0,075;0,069;
2025-03-03;0,047;0,020;0,025;0,056;0,003;-0,001;0,072;0,074;0,053;0,022;-0,003;0,049;0,048;0,009;0,008;0,078;0,072;
2025-03-04;0,041;0,009;0,014;0,043;0,003;-0,001;0,067;0,052;0,037;0,019;-0,002;0,034;0,032;-0,005;0,005;0,071;0,071;
2025-03-05;0,035;0,008;0,017;0,032;0,002;-0,003;0,057;0,046;0,043;0,016;-0,005;0,040;0,039;0,006;-0,002;0,061;0,063;
2025-03-06;;0,008;;0,027;;;0,050;0,039;0,045;;-0,006;0,039;0,038;;-0,009;0,055;0,056;
2025-03-10;0,020;;0,005;;0,001;-0,003;;;;0,008;;;;-0,002;;;;
2025-03-11;;-0,005;;0,012;;;0,028;0,023;0,028;;-0,006;0,024;0,023;;-0,010;0,050;0,053;
2025-03-12;0,013;;-0,004;;-0,000;-0,003;;;;0,004;;;;0,005;;;;
2025-03-13;;-0,004;;0,016;;;0,035;0,025;0,027;;-0,005;0,025;0,024;;-0,007;0,040;0,049;
2025-03-14;0,019;;0,005;;-0,001;-0,004;;;;0,007;;;;0,022;;;;
2025-03-17;;0,002;;0,018;;;0,037;0,030;0,035;;-0,004;0,034;0,032;;-0,006;0,035;0,048;
2025-03-18;0,017;;0,009;;-0,000;-0,003;;;;0,007;;;;0,024;;;;
2025-03-19;0,022;0,005;0,012;0,017;0,000;-0,003;0,040;0,034;0,035;0,010;-0,004;0,033;0,032;0,014;-0,004;0,034;0,052;
2025-03-20;0,021;0,004;0,010;0,022;0,001;-0,003;0,044;0,036;0,032;0,009;-0,004;0,032;0,030;0,010;-0,004;0,036;0,052;
2025-03-21;0,019;-0,002;0,007;0,016;0,000;-0,003;0,039;0,027;0,027;0,008;-0,004;0,025;0,024;0,000;-0,006;0,033;0,051;
2025-03-24;0,024;-0,000;0,005;0,023;0,001;-0,003;0,043;0,039;0,028;0,010;-0,004;0,027;0,026;0,007;-0,007;0,031;0,048;
2025-03-25;0,021;-0,004;0,004;0,020;0,001;-0,003;0,036;0,033;0,025;0,009;-0,005;0,025;0,024;0,011;-0,011;0,030;0,047;
2025-03-26;0,017;-0,007;0,000;0,019;0,000;-0,003;0,031;0,033;0,024;0,006;-0,004;0,024;0,023;0,007;-0,011;0,028;0,037;
2025-03-27;0,015;-0,011;-0,001;0,017;-0,001;-0,003;0,029;0,030;0,019;0,005;-0,004;0,020;0,019;0,007;-0,011;0,028;0,036;
2025-03-28;0,008;-0,016;-0,005;0,008;-0,001;-0,002;0,024;0,016;0,012;0,002;-0,003;0,013;0,012;0,001;-0,011;0,028;0,038;
2025-03-31;0,008;-0,019;-0,012;0,002;-0,002;-0,002;0,021;0,011;0,005;0,001;-0,003;0,007;0,005;-0,007;-0,009;0,020;0,035;
2025-04-01;0,009;-0,014;-0,008;0,007;-0,001;-0,002;0,023;0,015;0,007;0,002;-0,002;0,010;0,008;-0,001;-0,008;0,024;0,038;
2025-04-02;0,008;-0,021;-0,011;0,004;-0,000;-0,002;0,014;0,015;-0,002;0,001;-0,002;0,001;0,000;-0,001;-0,009;0,024;0,025;
2025-04-03;-0,016;-0,025;-0,027;-0,015;-0,003;-0,002;0,008;-0,008;-0,012;-0,008;-0,001;-0,007;-0,008;-0,022;-0,013;0,011;0,021;
2025-04-04;-0,023;-0,041;-0,040;-0,023;-0,007;-0,002;0,005;-0,022;-0,032;-0,013;-0,000;-0,029;-0,030;-0,039;-0,001;0,010;0,023;
2025-04-07;-0,035;-0,053;-0,058;-0,040;-0,011;-0,003;-0,015;-0,030;-0,046;-0,022;0,002;-0,044;-0,045;-0,049;-0,003;-0,018;-0,006;
2025-04-08;-0,038;-0,044;-0,046;-0,022;-0,010;-0,002;0,003;-0,016;-0,039;-0,021;-0,000;-0,040;-0,040;-0,029;-0,003;-0,013;-0,002;
2025-04-09;-0,013;-0,057;-0,058;-0,039;-0,010;-0,003;-0,021;-0,038;-0,056;-0,016;0,001;-0,055;-0,056;-0,039;-0,000;-0,018;-0,015;
2025-04-10;-0,024;-0,041;-0,047;-0,020;-0,009;-0,002;-0,009;-0,019;-0,040;-0,016;0,001;-0,035;-0,035;-0,027;-0,003;0,000;-0,005;
2025-04-11;-0,014;-0,040;-0,039;-0,022;-0,010;-0,003;-0,013;-0,025;-0,040;-0,013;0,003;-0,038;-0,039;-0,024;0,006;-0,007;-0,019;
2025-04-14;-0,018;-0,032;-0,030;-0,016;-0,007;-0,002;-0,007;-0,015;-0,031;-0,012;0,002;-0,028;-0,029;-0,015;0,003;-0,003;-0,013;
2025-04-15;-0,011;-0,019;-0,021;-0,010;-0,006;-0,002;-0,000;-0,008;-0,020;-0,007;0,002;-0,017;-0,018;-0,010;0,004;-0,001;-0,004;
2025-04-16;-0,019;-0,022;-0,018;-0,018;-0,006;-0,001;-0,008;-0,016;-0,027;-0,010;0,002;-0,024;-0,025;-0,007;0,010;-0,002;-0,001;
2025-04-17;-0,024;-0,024;-0,021;-0,024;-0,005;-0,001;-0,011;-0,024;-0,028;-0,013;;-0,024;;-0,007;0,005;-0,007;-0,009;
2025-04-22;-0,028;-0,030;-0,024;-0,033;-0,005;-0,000;-0,022;-0,032;-0,032;-0,015;0,002;-0,027;-0,028;-0,008;0,004;-0,014;-0,009;
2025-04-23;;-0,017;;-0,015;;;-0,004;-0,005;-0,018;;0,001;-0,012;-0,013;;-0,000;-0,003;-0,003;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;-0,008;;-0,010;;-0,000;0,000;;;;-0,004;;;;0,006;;;;
2025-04-29;-0,004;-0,012;-0,011;-0,009;-0,000;0,000;0,003;-0,009;-0,010;-0,002;0,001;-0,010;-0,010;0,005;0,002;0,001;0,008;
2025-04-30;-0,002;-0,006;-0,007;-0,011;-0,001;0,001;0,008;-0,014;-0,003;-0,001;;-0,002;;-0,002;0,003;0,002;0,015;
2025-05-02;0,004;0,002;0,002;0,000;0,000;-0,000;0,010;0,002;0,003;0,001;0,001;0,002;0,002;0,008;0,004;0,004;0,016;
2025-05-05;;0,003;;0,001;;;0,009;0,005;0,004;;0,000;0,003;0,003;;0,000;0,005;0,019;
2025-05-06;0,000;;0,000;;0,000;0,000;;;;0,000;;;;0,000;;;;
2025-05-07;;0,000;;0,000;;;0,000;0,000;0,000;;0,000;0,000;0,000;;0,000;0,000;0,000;
