
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2023-11-17;-0,014;-0,004;-0,051;0,087;0,033;0,061;-0,017;-0,009;-0,001;0,042;-0,119;-0,199;0,005;0,018;-0,007;-0,055;;
2023-11-20;-0,018;-0,008;-0,055;0,088;0,033;0,060;-0,021;-0,011;-0,006;0,046;-0,120;-0,206;0,002;0,019;-0,010;-0,056;;
2023-11-21;-0,021;-0,011;-0,055;0,083;0,029;0,056;-0,024;-0,014;-0,009;0,037;-0,124;-0,196;0,001;0,021;-0,014;-0,059;;
2023-11-22;-0,017;-0,006;-0,055;0,089;0,026;0,059;-0,019;-0,007;-0,004;0,036;-0,121;-0,193;0,006;0,019;-0,009;-0,055;;
2023-11-23;-0,018;-0,009;-0,056;0,088;0,029;0,058;-0,019;-0,008;-0,004;0,040;-0,119;-0,195;0,006;0,018;-0,010;-0,056;;
2023-11-24;-0,018;;-0,053;0,088;0,032;0,058;-0,018;-0,007;-0,002;0,045;-0,117;-0,193;0,008;0,018;-0,010;-0,056;;
2023-11-27;-0,019;-0,010;-0,054;0,083;0,027;0,055;-0,020;-0,009;-0,004;0,038;-0,119;-0,194;0,005;0,013;-0,010;-0,058;;
2023-11-28;-0,018;-0,009;-0,052;0,088;0,029;0,057;-0,020;-0,011;-0,004;0,041;-0,118;-0,184;0,002;0,015;-0,011;-0,059;;
2023-11-29;-0,020;-0,010;-0,055;0,086;0,025;0,060;-0,021;-0,012;-0,004;0,036;-0,117;-0,175;-0,002;0,015;-0,006;-0,056;;
2023-11-30;;;;;;;;;;;;;;;;;;
2023-12-01;-0,015;-0,001;-0,048;0,090;0,035;0,063;-0,015;-0,010;0,002;0,044;-0,108;-0,164;0,007;0,026;-0,002;-0,058;;
2023-12-04;-0,015;0,003;-0,048;0,091;0,029;0,063;-0,013;-0,012;0,005;0,036;-0,105;-0,168;0,006;0,024;0,004;-0,061;;
2023-12-05;-0,014;0,004;-0,052;0,085;0,024;0,062;-0,015;-0,012;0,002;0,035;-0,107;-0,177;0,004;0,014;0,005;-0,061;;
2023-12-06;-0,011;0,007;-0,043;0,093;0,026;0,067;-0,012;-0,009;0,005;0,030;-0,101;-0,174;0,008;0,021;0,012;-0,055;;
2023-12-07;-0,012;0,006;-0,042;0,088;0,022;0,064;-0,015;-0,012;0,001;0,025;-0,109;-0,183;0,003;0,016;0,007;-0,060;;
2023-12-08;-0,014;0,003;-0,049;0,088;0,023;0,065;-0,016;-0,012;0,001;0,023;-0,110;-0,187;0,003;0,017;0,004;-0,058;;
2023-12-11;-0,012;0,006;-0,047;0,087;0,022;0,069;-0,012;-0,008;0,004;0,026;-0,106;-0,197;0,008;0,012;0,006;-0,051;;
2023-12-12;;;;;;;;;;;;;;;;;;
2023-12-13;-0,011;0,004;-0,044;0,086;0,018;0,069;-0,011;-0,005;0,005;0,020;-0,106;-0,203;0,012;0,009;0,008;-0,046;;
2023-12-14;-0,014;0,003;-0,045;0,103;0,030;0,082;-0,006;-0,004;0,014;0,026;-0,097;-0,172;0,010;0,026;0,027;-0,047;;
2023-12-15;-0,013;0,009;-0,046;0,100;0,030;0,080;-0,010;-0,006;0,009;0,025;-0,102;-0,180;0,004;0,028;0,024;-0,048;;
2023-12-18;-0,014;0,006;-0,055;0,098;0,033;0,076;-0,012;-0,005;0,008;0,032;-0,105;-0,182;0,005;0,031;0,020;-0,048;;
2023-12-19;-0,015;0,004;-0,055;0,109;0,033;0,079;-0,011;-0,003;0,010;0,028;-0,101;-0,174;0,005;0,036;0,020;-0,047;;
2023-12-20;-0,016;-0,005;-0,054;0,104;0,032;0,075;-0,012;-0,005;0,008;0,031;-0,104;-0,173;0,003;0,033;0,019;-0,049;;
