
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2024-03-01;-0,001;0,038;-0,014;0,082;0,011;0,072;0,012;0,038;0,028;0,043;-0,076;-0,245;0,044;-0,009;0,011;0,018;;
2024-03-04;-0,001;0,037;-0,018;0,084;0,011;0,074;0,014;0,039;0,031;0,041;-0,075;-0,222;0,047;-0,006;0,014;0,022;;
2024-03-05;;;;;;;;;;;;;;;;;;
2024-03-06;0,002;0,038;-0,006;0,088;0,015;0,076;0,018;0,039;0,033;0,046;-0,071;-0,199;0,047;0,001;0,020;0,020;;
2024-03-07;-0,001;;-0,004;0,082;0,018;0,081;0,017;0,039;0,032;0,044;-0,071;-0,197;0,048;0,007;0,018;0,021;;
2024-03-08;-0,004;0,033;-0,003;0,076;0,016;0,079;0,014;0,038;0,030;0,042;-0,072;-0,198;0,046;0,005;0,020;0,025;;
2024-03-11;-0,003;0,030;-0,011;0,077;0,013;0,075;0,012;0,032;0,027;0,040;-0,077;-0,198;0,043;-0,003;0,018;0,010;;
2024-03-12;-0,003;0,028;-0,011;0,077;0,017;0,079;0,015;0,036;0,030;0,046;-0,073;-0,203;0,046;-0,002;0,019;0,016;;
2024-03-13;-0,002;0,018;-0,013;0,082;0,023;0,079;0,017;0,036;0,031;0,052;-0,069;-0,193;0,047;0,009;0,018;0,014;;
2024-03-14;-0,002;0,024;-0,012;0,083;0,023;0,074;0,013;0,035;0,026;0,054;-0,075;-0,194;0,043;0,007;0,012;0,013;;
2024-03-15;0,002;0,024;-0,009;0,083;0,031;0,076;0,019;0,039;0,032;0,064;-0,067;-0,189;0,048;0,014;0,015;0,013;;
2024-03-18;0,002;0,026;-0,002;0,080;0,031;0,077;0,019;0,042;0,031;0,063;-0,066;-0,193;0,048;0,016;0,016;0,016;;
2024-03-19;0,007;0,025;0,002;0,084;0,036;0,078;0,025;0,044;0,037;0,072;-0,060;-0,193;0,052;0,017;0,019;0,014;;
2024-03-20;0,007;0,024;-0,002;0,085;0,036;0,081;0,026;0,044;0,038;0,071;-0,058;-0,194;0,051;0,017;0,019;0,019;;
2024-03-21;0,005;0,026;0,003;0,090;0,040;0,086;0,028;0,048;0,041;0,072;-0,048;-0,181;0,051;0,025;0,024;0,028;;
2024-03-22;0,011;;0,012;0,091;0,043;0,088;0,032;0,051;0,044;0,076;-0,045;-0,182;0,055;0,026;0,025;0,030;;
2024-03-25;;;;;;;;;;;;;;;;;;
2024-03-26;0,012;0,033;0,008;0,091;0,046;0,089;0,034;0,054;0,048;0,080;-0,040;-0,179;0,058;0,025;0,024;0,034;;
2024-03-27;0,014;0,036;0,013;0,096;0,049;0,090;0,038;0,055;0,052;0,080;-0,038;-0,171;0,062;0,029;0,029;0,029;;
2024-03-28;0,018;;0,013;0,105;0,058;0,096;0,046;0,061;0,060;0,088;-0,030;-0,156;0,068;0,041;0,037;0,034;;
2024-04-02;0,021;0,055;0,010;0,104;0,070;0,094;0,047;0,061;0,059;0,102;-0,030;-0,141;0,062;0,054;0,032;0,033;;
2024-04-03;0,018;0,051;0,007;0,099;0,071;0,089;0,044;0,060;0,057;0,103;-0,029;-0,139;0,061;0,055;0,026;0,033;;
2024-04-04;0,014;0,046;0,006;0,105;0,071;0,092;0,042;0,059;0,055;0,100;-0,029;-0,139;0,057;0,057;0,027;0,034;;
2024-04-05;0,015;0,050;0,004;0,100;0,068;0,084;0,036;0,055;0,048;0,099;-0,036;-0,138;0,052;0,051;0,021;0,029;;
