
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2023-01-18;-0,041;-0,066;-0,068;-0,043;-0,021;-0,087;-0,026;0,000;-0,082;-0,065;-0,089;-0,051;-0,120;-0,079;-0,037;-0,134;-0,032;
2023-01-19;-0,046;-0,066;-0,067;-0,043;-0,028;-0,094;-0,029;-0,005;-0,087;-0,070;-0,095;-0,054;-0,127;-0,083;-0,037;-0,142;-0,033;
2023-01-20;-0,044;-0,066;-0,067;-0,043;-0,021;-0,084;-0,025;-0,000;-0,082;-0,070;-0,094;-0,055;-0,126;-0,086;-0,037;-0,141;-0,035;
2023-01-23;-0,041;-0,066;-0,067;-0,043;-0,023;-0,084;;-0,002;-0,082;-0,068;-0,094;-0,055;-0,122;-0,086;-0,037;-0,135;-0,035;
2023-01-24;-0,042;-0,065;-0,067;-0,043;-0,020;-0,085;;0,000;-0,082;-0,068;-0,096;-0,054;-0,121;-0,081;-0,037;-0,133;-0,035;
2023-01-25;-0,043;-0,065;-0,066;-0,042;-0,018;-0,088;-0,020;0,003;-0,081;-0,069;-0,095;-0,054;-0,124;-0,075;-0,037;-0,139;-0,034;
2023-01-26;;;;;;;;;;;;;;;;;;
2023-01-27;-0,043;-0,064;-0,065;-0,042;-0,012;-0,082;-0,014;0,008;-0,078;-0,064;-0,090;-0,052;-0,112;-0,072;-0,037;-0,125;-0,035;
2023-01-30;-0,045;-0,064;-0,065;-0,042;-0,012;-0,084;-0,019;0,008;-0,078;-0,064;-0,087;-0,052;-0,110;-0,071;-0,037;-0,122;-0,035;
2023-01-31;-0,046;-0,064;-0,065;-0,042;-0,010;-0,078;-0,022;0,010;-0,080;-0,063;-0,085;-0,051;-0,108;-0,067;-0,036;-0,121;-0,034;
2023-02-01;-0,045;-0,064;-0,064;-0,042;-0,001;-0,070;-0,016;0,015;-0,074;-0,061;-0,082;-0,050;-0,105;-0,068;-0,036;-0,118;-0,034;
2023-02-02;-0,035;-0,063;-0,062;-0,042;-0,001;-0,063;-0,019;0,025;-0,071;-0,055;-0,080;-0,045;-0,099;-0,069;-0,036;-0,109;-0,030;
2023-02-03;;;;;;;;;;-0,054;-0,078;-0,045;-0,097;-0,068;-0,036;-0,106;-0,032;
2023-02-06;-0,039;-0,062;-0,061;-0,041;0,001;-0,062;-0,020;0,021;-0,071;;;;;;;;;
2023-02-07;-0,040;-0,062;-0,062;-0,041;0,005;-0,059;-0,020;0,020;-0,068;-0,056;-0,080;-0,047;-0,095;-0,063;-0,036;-0,104;-0,033;
2023-02-08;-0,039;-0,061;-0,062;-0,041;0,004;-0,066;-0,020;0,017;-0,068;;;;;;;;;
2023-02-09;-0,039;-0,061;-0,061;-0,041;-0,006;-0,078;-0,028;0,006;-0,074;-0,062;-0,085;-0,051;-0,105;-0,074;-0,036;-0,115;-0,035;
2023-02-10;;-0,061;-0,062;-0,041;-0,008;-0,081;-0,031;0,004;-0,079;-0,065;-0,091;-0,054;-0,108;-0,070;-0,036;-0,118;-0,038;
2023-02-13;-0,038;-0,061;-0,062;-0,041;-0,005;-0,074;-0,028;0,009;-0,073;-0,063;-0,086;-0,053;-0,104;-0,077;-0,036;-0,114;-0,039;
2023-02-14;-0,037;-0,060;-0,062;-0,041;-0,006;-0,076;-0,026;0,009;-0,071;-0,062;-0,085;-0,053;-0,104;-0,078;-0,036;-0,114;-0,039;
2023-02-15;-0,036;-0,060;-0,062;-0,041;-0,004;-0,073;-0,028;0,010;-0,073;-0,062;-0,084;-0,053;-0,103;-0,079;-0,036;-0,112;-0,039;
2023-02-16;-0,037;-0,060;-0,062;-0,041;-0,002;-0,076;-0,025;0,009;-0,072;-0,062;-0,083;-0,053;-0,102;-0,076;-0,036;-0,112;-0,039;
