
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2024-11-06;0,018;-0,007;-0,010;-0,006;0,054;0,025;0,045;0,038;0,036;0,022;0,002;0,009;0,055;0,029;-0,005;0,070;-0,004;
2024-11-07;0,023;-0,007;-0,010;-0,006;0,052;0,020;0,042;0,033;0,034;0,023;0,001;0,009;0,054;0,028;-0,005;0,069;-0,005;
2024-11-08;;;;;;;;;;;;;;;;;;
2024-11-11;0,025;-0,006;-0,009;-0,006;0,059;0,030;0,043;0,044;0,037;0,027;0,002;0,011;0,062;0,032;-0,005;0,079;-0,004;
2024-11-12;;;;;;;;;;;;;;;;;;
2024-11-13;0,015;-0,006;-0,009;-0,006;0,050;0,030;0,033;0,038;0,029;0,023;-0,008;0,009;0,062;0,026;-0,005;0,081;-0,004;
2024-11-14;0,018;-0,006;-0,009;-0,006;0,051;0,028;0,030;0,039;0,029;0,025;-0,002;0,011;0,064;0,024;-0,005;0,082;-0,003;
2024-11-15;;;;;;;;;;;;;;;;;;
2024-11-18;0,012;-0,006;-0,009;-0,005;0,051;0,027;0,035;0,036;0,030;0,020;-0,007;0,008;0,056;0,025;-0,005;0,073;-0,004;
2024-11-19;0,011;-0,006;-0,009;-0,005;0,050;0,025;0,033;0,038;0,028;0,019;-0,011;0,008;0,055;0,029;-0,005;0,072;-0,003;
2024-11-20;0,010;-0,006;-0,009;-0,005;0,054;0,027;0,038;0,036;0,032;0,021;-0,007;0,009;0,059;0,026;-0,005;0,076;-0,004;
2024-11-21;0,012;-0,006;-0,009;-0,005;0,055;0,030;0,036;0,036;0,031;0,021;-0,007;0,009;0,060;0,026;-0,005;0,078;-0,003;
2024-11-22;0,015;-0,006;-0,009;-0,005;0,061;0,035;0,039;0,043;0,035;0,026;-0,002;0,012;0,067;0,029;-0,004;0,085;-0,002;
2024-11-25;0,016;-0,005;-0,009;-0,005;0,068;0,039;0,041;0,049;0,037;0,025;-0,003;0,012;0,065;0,031;-0,004;0,083;-0,001;
2024-11-26;0,012;-0,005;-0,008;-0,005;0,063;0,038;0,039;0,045;0,033;0,025;-0,003;0,012;0,065;0,028;-0,004;0,083;-0,001;
2024-11-27;0,015;-0,005;-0,008;-0,005;0,057;0,033;0,032;0,044;0,030;0,025;-0,005;0,012;0,064;0,029;-0,004;0,082;-0,001;
2024-11-28;;;;;;;;;;;;;;;;;;
2024-11-29;0,017;-0,005;-0,007;-0,005;0,060;0,036;0,026;0,045;0,031;0,025;-0,004;0,012;0,064;0,034;-0,004;0,082;-0,000;
2024-12-02;0,020;-0,005;-0,007;-0,005;0,063;0,039;0,030;0,044;0,036;0,029;0,001;0,015;0,071;0,044;-0,004;0,088;0,001;
2024-12-03;0,022;-0,005;-0,007;-0,005;0,066;0,036;0,034;0,042;0,039;0,030;0,005;0,015;0,071;0,053;-0,004;0,088;0,001;
2024-12-04;0,024;-0,005;-0,006;-0,005;0,066;0,040;0,034;0,045;0,038;0,032;0,006;0,016;0,073;0,046;-0,004;0,090;-0,000;
2024-12-05;0,023;-0,004;-0,006;-0,005;0,064;0,036;0,029;0,042;0,034;0,030;0,006;0,014;0,070;0,042;-0,004;0,087;-0,002;
2024-12-06;0,025;-0,004;-0,005;-0,005;0,064;0,037;0,028;0,044;0,034;0,031;0,009;0,015;0,072;0,043;-0,004;0,089;-0,001;
2024-12-09;;;;;;;;;;;;;;;;;;
2024-12-10;0,021;-0,004;-0,005;-0,005;0,064;0,038;0,035;0,039;0,035;0,031;0,009;0,015;0,072;0,042;-0,004;0,089;-0,001;
2024-12-11;0,021;-0,004;-0,005;-0,005;0,063;0,039;0,033;0,038;0,035;0,031;0,008;0,014;0,073;0,042;-0,004;0,090;-0,002;
2024-12-12;;;;;;;;;;;;;;;;;;
2024-12-13;0,017;-0,004;-0,005;-0,004;0,060;0,038;0,031;0,036;0,034;0,029;0,006;0,013;0,073;0,038;-0,004;0,090;-0,003;
2024-12-16;0,015;-0,004;-0,005;-0,004;0,054;0,036;0,025;0,031;0,032;0,027;0,003;0,012;0,071;0,034;-0,004;0,089;-0,003;
2024-12-17;0,013;-0,004;-0,005;-0,004;0,049;0,032;0,019;0,028;0,027;0,026;0,003;0,011;0,070;0,035;-0,004;0,088;-0,004;
2024-12-18;0,015;-0,003;-0,005;-0,004;0,047;0,027;0,022;0,023;0,028;0,026;0,003;0,011;0,070;0,032;-0,004;0,088;-0,004;
2024-12-19;0,006;-0,004;-0,006;-0,004;0,044;0,030;0,020;0,019;0,025;0,020;-0,005;0,007;0,062;0,025;-0,004;0,080;-0,006;
2024-12-20;0,007;-0,003;-0,006;-0,004;0,039;0,027;0,013;0,017;0,010;0,018;-0,011;0,006;0,059;0,025;-0,004;0,077;-0,005;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;;;;;;
2025-02-19;0,027;0,001;0,000;-0,001;0,058;0,049;0,038;0,016;0,036;0,033;0,021;0,015;0,069;0,042;-0,002;0,083;-0,004;
2025-02-20;0,029;0,001;0,001;-0,001;0,058;0,046;0,036;0,023;0,039;0,032;0,021;0,014;0,066;0,039;-0,002;0,080;-0,004;
2025-02-21;0,029;0,001;0,001;-0,001;0,054;0,040;0,041;0,018;0,040;0,031;0,021;0,014;0,064;0,037;-0,002;0,077;-0,003;
2025-02-24;0,027;0,001;0,001;-0,001;0,053;0,038;0,034;0,020;0,040;0,029;0,021;0,013;0,060;;-0,002;0,071;-0,003;
2025-02-25;;;;;;;;;;;;;;;;;;
2025-02-26;0,031;0,001;0,002;-0,001;0,054;0,040;0,034;0,020;0,041;0,030;0,026;0,014;0,058;0,034;-0,002;0,069;-0,002;
2025-02-27;0,029;0,002;0,002;-0,001;0,055;0,041;0,034;0,026;0,040;0,029;0,024;0,014;0,058;0,041;-0,002;0,069;-0,002;
2025-02-28;0,027;0,002;0,002;-0,001;0,044;0,046;0,022;0,025;0,034;0,027;0,024;0,012;0,053;0,028;-0,002;0,064;-0,002;
2025-03-03;0,027;0,002;0,002;-0,001;0,041;0,042;0,020;0,023;0,035;0,028;0,027;0,012;0,055;0,031;-0,001;0,065;-0,003;
2025-03-04;0,018;0,002;0,002;-0,001;0,027;0,029;0,011;0,012;0,020;0,019;0,018;0,009;0,041;0,031;-0,001;0,049;-0,002;
2025-03-05;0,024;0,002;0,001;-0,001;0,033;0,024;0,009;0,005;0,023;0,016;0,017;0,005;0,031;0,019;-0,002;0,037;-0,004;
2025-03-06;0,021;0,002;0,001;-0,001;0,035;0,014;0,012;-0,010;0,024;0,013;0,013;0,003;0,027;0,022;-0,002;0,032;-0,006;
2025-03-10;;;;;;;;;;;;;;;;;;
2025-03-11;0,011;0,002;0,000;-0,001;0,019;-0,004;0,003;-0,015;0,012;0,004;-0,002;-0,001;0,007;0,005;-0,002;0,010;-0,006;
2025-03-12;;;;;;;;;;;;;;;;;;
2025-03-13;0,012;0,002;-0,000;-0,001;0,021;-0,001;0,007;-0,013;0,014;0,006;0,004;-0,000;0,013;0,012;-0,002;0,016;-0,006;
2025-03-14;;;;;;;;;;;;;;;;;;
2025-03-17;0,017;0,002;0,000;-0,001;0,030;0,005;0,017;-0,001;0,022;0,009;0,010;0,001;0,015;0,013;-0,001;0,018;-0,006;
2025-03-18;;;;;;;;;;;;;;;;;;
2025-03-19;0,018;0,002;0,001;-0,001;0,032;0,007;0,025;-0,001;0,026;0,009;0,013;0,001;0,016;0,018;-0,002;0,019;-0,007;
2025-03-20;0,016;0,002;0,001;-0,000;0,031;0,008;0,020;-0,000;0,025;0,011;0,012;0,002;0,022;;-0,001;0,026;-0,007;
2025-03-21;0,012;0,002;0,001;-0,000;0,027;0,007;0,017;-0,003;0,019;0,007;0,007;0,000;0,016;0,023;-0,001;0,019;-0,007;
2025-03-24;0,011;0,002;0,001;-0,000;0,027;0,011;0,017;-0,004;0,018;0,010;0,007;0,002;0,023;0,017;-0,001;0,030;-0,007;
2025-03-25;0,012;0,002;0,001;-0,000;0,022;0,009;0,014;-0,008;0,014;0,008;0,004;0,001;0,020;0,015;-0,001;0,026;-0,007;
2025-03-26;0,008;0,003;0,001;-0,000;0,022;0,009;0,017;-0,006;0,013;0,008;0,002;0,000;0,019;0,016;-0,001;0,025;-0,007;
2025-03-27;0,007;0,003;0,001;-0,000;0,016;0,007;0,013;-0,009;0,006;0,006;-0,001;0,000;0,017;0,015;-0,001;0,023;-0,006;
2025-03-28;0,004;0,003;0,001;-0,000;0,009;0,000;0,008;-0,006;0,003;0,002;-0,005;-0,002;0,008;0,011;-0,001;0,011;-0,006;
2025-03-31;-0,002;0,003;0,001;-0,000;0,002;0,002;-0,000;-0,008;-0,002;-0,001;-0,009;-0,003;0,002;-0,002;-0,001;0,006;-0,005;
2025-04-01;0,001;0,003;0,001;-0,000;0,006;0,003;0,005;-0,007;0,001;0,001;-0,009;-0,002;0,006;-0,003;-0,001;0,011;-0,005;
2025-04-02;-0,002;0,003;0,001;-0,000;0,001;0,004;0,005;-0,007;-0,000;-0,002;-0,013;-0,003;0,003;-0,007;-0,001;0,009;-0,005;
2025-04-03;-0,010;0,002;0,001;-0,000;-0,021;-0,018;-0,015;-0,017;-0,018;-0,010;-0,022;-0,007;-0,016;-0,022;-0,001;-0,014;-0,005;
2025-04-04;-0,022;0,002;-0,000;-0,001;-0,020;-0,021;-0,014;-0,019;-0,023;-0,016;-0,033;-0,009;-0,022;-0,026;-0,001;-0,020;-0,002;
2025-04-07;-0,034;-0,000;-0,003;-0,001;-0,034;-0,025;-0,026;-0,035;-0,033;-0,026;-0,050;-0,014;-0,041;-0,061;-0,001;-0,038;-0,002;
2025-04-08;-0,029;-0,001;-0,003;-0,001;-0,042;-0,037;-0,042;-0,049;-0,044;-0,019;-0,041;-0,011;-0,023;-0,037;-0,001;-0,017;-0,003;
2025-04-09;-0,038;-0,002;-0,006;-0,001;-0,041;-0,017;-0,046;-0,039;-0,047;-0,029;-0,054;-0,016;-0,041;-0,047;-0,001;-0,037;-0,001;
2025-04-10;-0,027;-0,002;-0,004;-0,001;-0,030;-0,025;-0,036;-0,037;-0,038;-0,019;-0,038;-0,011;-0,021;-0,016;-0,001;-0,017;-0,001;
2025-04-11;-0,025;-0,003;-0,005;-0,001;-0,030;-0,019;-0,033;-0,034;-0,036;-0,020;-0,035;-0,011;-0,025;-0,029;-0,001;-0,021;-0,000;
2025-04-14;-0,019;-0,003;-0,005;-0,001;-0,031;-0,021;-0,031;-0,031;-0,032;-0,015;-0,030;-0,008;-0,017;-0,030;-0,001;-0,013;-0,000;
2025-04-15;-0,013;-0,003;-0,004;-0,001;-0,024;-0,016;-0,026;-0,023;-0,025;-0,010;-0,020;-0,005;-0,012;-0,020;-0,001;-0,010;-0,001;
2025-04-16;-0,014;-0,002;-0,003;-0,001;-0,020;-0,017;-0,026;-0,018;-0,023;-0,013;-0,023;-0,007;-0,021;-0,022;-0,001;-0,021;-0,001;
2025-04-17;-0,016;-0,002;-0,003;-0,001;;;;;;-0,016;-0,026;-0,008;-0,027;-0,021;-0,001;-0,028;-0,001;
2025-04-22;-0,015;-0,002;-0,002;-0,001;-0,026;-0,026;-0,030;-0,020;-0,028;-0,019;-0,029;-0,009;-0,036;-0,026;-0,000;-0,039;-0,000;
2025-04-23;-0,011;-0,002;-0,001;-0,001;-0,018;-0,020;-0,018;-0,018;-0,021;-0,009;-0,016;-0,005;-0,016;-0,017;-0,000;-0,016;-0,001;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;-0,007;;;;;;;;;;;;;-0,004;;;;
2025-04-29;;-0,000;0,000;-0,000;-0,009;-0,013;-0,010;-0,010;-0,012;-0,006;-0,010;-0,003;-0,011;;-0,000;-0,011;0,000;
2025-04-30;-0,004;-0,000;0,000;-0,000;-0,006;-0,009;-0,008;-0,006;-0,007;-0,005;-0,010;-0,002;-0,013;0,001;-0,000;-0,015;0,000;
2025-05-02;-0,001;-0,000;0,000;-0,000;0,001;0,002;0,002;0,002;0,002;-0,000;-0,002;-0,000;-0,001;0,000;-0,000;-0,000;0,000;
2025-05-05;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;0,000;0,000;0,000;
